Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106801,ABW,12.52111,-69.968338,2024-04-19
Afghanistan,40234779,AFG,33.93911,67.709953,2024-04-19
Angola,32878443,AGO,-11.202692,17.873887,2024-04-19
Anguilla,13456,AIA,18.220554,-63.068615,2024-04-19
Åland Islands,29468,ALA,60.250716,20.374146,2024-04-19
Albania,2838655,ALB,41.153332,20.168331,2024-04-19
Andorra,77290,AND,42.546245,1.601554,2024-04-19
United Arab Emirates,9894325,ARE,23.424076,53.847818,2024-04-19
Argentina,45395514,ARG,-38.416097,-63.616672,2024-04-19
Armenia,2964281,ARM,40.069099,45.038189,2024-04-19
American Samoa,55212,ASM,-14.270972,-170.132217,2024-04-19
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-19
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-19
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-19
Antigua and Barbuda,97966,ATG,17.060816,-61.796428,2024-04-19
Australia,25697587,AUS,-25.274398,133.775136,2024-04-19
Austria,8920240,AUT,47.516231,14.550072,2024-04-19
Azerbaijan,10113838,AZE,40.143105,47.576927,2024-04-19
Burundi,11894279,BDI,-3.373056,29.918886,2024-04-19
Belgium,11559935,BEL,50.503887,4.469936,2024-04-19
Benin,12127350,BEN,9.30769,2.315834,2024-04-19
"Bonaire, Sint Eustatius and Saba",25997,BES,12.183333,-68.233333,2024-04-19
Burkina Faso,20911403,BFA,12.238333,-1.561593,2024-04-19
Bangladesh,164739869,BGD,23.684994,90.356331,2024-04-19
Bulgaria,6929704,BGR,42.733883,25.48583,2024-04-19
Bahrain,1702285,BHR,25.930414,50.637772,2024-04-19
Bahamas,393391,BHS,25.03428,-77.39628,2024-04-19
The Bahamas,393394,BHS,25.03428,-77.39628,2024-04-19
Bosnia and Herzegovina,3282085,BIH,43.915886,17.679076,2024-04-19
Belarus,9402387,BLR,53.709807,27.953389,2024-04-19
Belize,397783,BLZ,17.189877,-88.49765,2024-04-19
Bermuda,63924,BMU,32.321384,-64.75737,2024-04-19
Bolivia,11677443,BOL,-16.290154,-63.588653,2024-04-19
Brazil,212626238,BRA,-14.235004,-51.92528,2024-04-19
Barbados,287488,BRB,13.193887,-59.543198,2024-04-19
Brunei,437643,BRN,4.535277,114.727669,2024-04-19
Brunei Darussalam,437624,BRN,4.535277,114.727669,2024-04-19
Bhutan,771918,BTN,27.514162,90.433601,2024-04-19
Burma,54431431,BUR,21.913965,95.956223,2024-04-19
