Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106766,ABW,12.52111,-69.968338,2024-04-05
Afghanistan,40218234,AFG,33.93911,67.709953,2024-04-05
Angola,32866268,AGO,-11.202692,17.873887,2024-04-05
Anguilla,13452,AIA,18.220554,-63.068615,2024-04-05
Åland Islands,29458,ALA,60.250716,20.374146,2024-04-05
Albania,2837743,ALB,41.153332,20.168331,2024-04-05
Andorra,77265,AND,42.546245,1.601554,2024-04-05
United Arab Emirates,9890400,ARE,23.424076,53.847818,2024-04-05
Argentina,45376763,ARG,-38.416097,-63.616672,2024-04-05
Armenia,2963234,ARM,40.069099,45.038189,2024-04-05
American Samoa,55197,ASM,-14.270972,-170.132217,2024-04-05
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-05
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-05
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-05
Antigua and Barbuda,97928,ATG,17.060816,-61.796428,2024-04-05
Australia,25687041,AUS,-25.274398,133.775136,2024-04-05
Austria,8917205,AUT,47.516231,14.550072,2024-04-05
Azerbaijan,10110116,AZE,40.143105,47.576927,2024-04-05
Burundi,11890781,BDI,-3.373056,29.918886,2024-04-05
Belgium,11555997,BEL,50.503887,4.469936,2024-04-05
Benin,12123198,BEN,9.30769,2.315834,2024-04-05
"Bonaire, Sint Eustatius and Saba",25987,BES,12.183333,-68.233333,2024-04-05
Burkina Faso,20903278,BFA,12.238333,-1.561593,2024-04-05
Bangladesh,164689383,BGD,23.684994,90.356331,2024-04-05
Bulgaria,6927288,BGR,42.733883,25.48583,2024-04-05
Bahrain,1701583,BHR,25.930414,50.637772,2024-04-05
Bahamas,393248,BHS,25.03428,-77.39628,2024-04-05
The Bahamas,393248,BHS,25.03428,-77.39628,2024-04-05
Bosnia and Herzegovina,3280815,BIH,43.915886,17.679076,2024-04-05
Belarus,9398861,BLR,53.709807,27.953389,2024-04-05
Belize,397621,BLZ,17.189877,-88.49765,2024-04-05
Bermuda,63903,BMU,32.321384,-64.75737,2024-04-05
Bolivia,11673029,BOL,-16.290154,-63.588653,2024-04-05
Brazil,212559409,BRA,-14.235004,-51.92528,2024-04-05
Barbados,287371,BRB,13.193887,-59.543198,2024-04-05
Brunei,437483,BRN,4.535277,114.727669,2024-04-05
