Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106729,ABW,12.52111,-69.968338,2024-03-24
Afghanistan,40205771,AFG,33.93911,67.709953,2024-03-24
Angola,32858008,AGO,-11.202692,17.873887,2024-03-24
Anguilla,13448,AIA,18.220554,-63.068615,2024-03-24
Åland Islands,29449,ALA,60.250716,20.374146,2024-03-24
Albania,2836868,ALB,41.153332,20.168331,2024-03-24
Andorra,77241,AND,42.546245,1.601554,2024-03-24
United Arab Emirates,9887829,ARE,23.424076,53.847818,2024-03-24
Argentina,45363404,ARG,-38.416097,-63.616672,2024-03-24
Armenia,2962173,ARM,40.069099,45.038189,2024-03-24
American Samoa,55182,ASM,-14.270972,-170.132217,2024-03-24
Antarctica,999,ATA,-75.250973,-0.071389,2024-03-24
French Southern Territories,399,ATF,-49.280366,69.348557,2024-03-24
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-03-24
Antigua and Barbuda,97898,ATG,17.060816,-61.796428,2024-03-24
Australia,25678004,AUS,-25.274398,133.775136,2024-03-24
Austria,8914611,AUT,47.516231,14.550072,2024-03-24
Azerbaijan,10107687,AZE,40.143105,47.576927,2024-03-24
Burundi,11887631,BDI,-3.373056,29.918886,2024-03-24
Belgium,11553021,BEL,50.503887,4.469936,2024-03-24
Benin,12119649,BEN,9.30769,2.315834,2024-03-24
"Bonaire, Sint Eustatius and Saba",25980,BES,12.183333,-68.233333,2024-03-24
Burkina Faso,20896286,BFA,12.238333,-1.561593,2024-03-24
Bangladesh,164646379,BGD,23.684994,90.356331,2024-03-24
Bulgaria,6925430,BGR,42.733883,25.48583,2024-03-24
Bahrain,1701093,BHR,25.930414,50.637772,2024-03-24
Bahamas,393133,BHS,25.03428,-77.39628,2024-03-24
The Bahamas,393143,BHS,25.03428,-77.39628,2024-03-24
Bosnia and Herzegovina,3279643,BIH,43.915886,17.679076,2024-03-24
Belarus,9396364,BLR,53.709807,27.953389,2024-03-24
Belize,397500,BLZ,17.189877,-88.49765,2024-03-24
Bermuda,63883,BMU,32.321384,-64.75737,2024-03-24
Bolivia,11668997,BOL,-16.290154,-63.588653,2024-03-24
Brazil,212487266,BRA,-14.235004,-51.92528,2024-03-24
Barbados,287295,BRB,13.193887,-59.543198,2024-03-24
Brunei,437333,BRN,4.535277,114.727669,2024-03-24
Brunei Darussalam,437357,BRN,4.535277,114.727669,2024-03-24
Bhutan,771415,BTN,27.514162,90.433601,2024-03-24
Burma,54396510,BUR,21.913965,95.956223,2024-03-24
Myanmar,54393040,MMR,21.913965,95.956223,2024-03-24
Botswana,2350842,BWA,-22.328474,24.684866,2024-03-24
Central African Republic,4828263,CAF,6.611111,20.939444,2024-03-24
Canada,37994562,CAN,56.130366,-106.346771,2024-03-24
Cocos (Keeling) Islands,543,CCK,-12.164165,96.870956,2024-03-24
Switzerland,8651653,CHE,46.818188,8.227512,2024-03-24
Chile,19110117,CHL,-35.675147,-71.542969,2024-03-24
China,1372480394,CHN,35.86166,104.195397,2024-03-24
Côte d'Ivoire,26370384,CIV,7.539989,-5.54708,2024-03-24
Cameroon,26537089,CMR,7.369722,12.354722,2024-03-24
Congo,5655484,COG,-0.228021,15.827659,2024-03-24
Cook Islands,18095,COK,-21.236736,-159.777671,2024-03-24
Colombia,50866049,COL,4.570868,-74.297333,2024-03-24
Comoros,869283,COM,-11.875001,43.872219,2024-03-24
Cape Verde,555813,CPV,16.002082,-24.013197,2024-03-24
Costa Rica,5092802,CRI,9.748917,-83.753428,2024-03-24
Cuba,11323470,CUB,21.521757,-77.781167,2024-03-24
Curaçao,154964,CUW,12.186111,-68.989444,2024-03-24
Christmas Island,2071,CXR,-10.447525,105.690449,2024-03-24
Cayman Islands,65703,CYM,19.513469,-80.566956,2024-03-24
Cyprus,1206981,CYP,35.126413,33.429859,2024-03-24
Czech Republic,10696266,CZE,49.817492,15.472962,2024-03-24
Czechia,10695631,CZE,49.817492,15.472962,2024-03-24
Germany,83216196,DEU,51.165691,10.451526,2024-03-24
Djibouti,987689,DJI,11.825138,42.590275,2024-03-24
Dominica,10844777,DMA,15.414999,-61.370976,2024-03-24
Denmark,5829523,DNK,56.26392,9.501785,2024-03-24
Dominican Republic,10844681,DOM,18.735693,-70.162651,2024-03-24
Algeria,44686262,DZA,28.033886,1.659626,2024-03-24
Ecuador,17636785,ECU,-1.831239,-78.183406,2024-03-24
Egypt,102307377,EGY,26.820553,30.802498,2024-03-24
Eritrea,5350459,ERI,15.179384,39.782334,2024-03-24
Western Sahara,510538,ESH,24.215527,-12.885834,2024-03-24
Spain,47336032,ESP,40.463667,-3.74922,2024-03-24
Estonia,1330613,EST,58.595272,25.013607,2024-03-24
Ethiopia,114930317,ETH,9.145,40.489673,2024-03-24
Finland,5528767,FIN,61.92411,25.748151,2024-03-24
Fiji,896226,FJI,-16.578193,179.414413,2024-03-24
Falkland Islands,2562,FLK,-51.796253,-59.523613,2024-03-24
Falkland Islands (Malvinas),2562,FLK,-51.796253,-59.523613,2024-03-24
France,67374090,FRA,46.227638,2.213749,2024-03-24
Faroe Islands,48848,FRO,61.892635,-6.911806,2024-03-24
Micronesia,114987,FSM,7.425554,150.550812,2024-03-24
"Micronesia, Federated States of",114981,FSM,7.425554,150.550812,2024-03-24
Gabon,2224955,GAB,-0.803689,11.609444,2024-03-24
Northern Ireland,67197989,GB-NIR,54.7,-6.7,2024-03-24
United Kingdom,67195994,GBR,55.378051,-3.435973,2024-03-24
United Kingdom of Great Britain and Northern Ireland,67195319,GBR,55.378051,-3.435973,2024-03-24
Georgia,3713009,GEO,42.315407,43.356892,2024-03-24
Guernsey,62981,GGY,49.465691,-2.585278,2024-03-24
Ghana,31064232,GHA,7.946527,-1.023194,2024-03-24
Gibraltar,33679,GIB,36.137741,-5.345374,2024-03-24
Guinea,1402603,GIN,9.945587,-9.696645,2024-03-24
Guadeloupe,399995,GLP,16.995971,-62.067641,2024-03-24
Gambia,2416040,GMB,13.443182,-15.310139,2024-03-24
The Gambia,2415992,GMB,13.443182,-15.310139,2024-03-24
Guinea-Bissau,1967385,GNB,11.803749,-15.180413,2024-03-24
Equatorial Guinea,1402634,GNQ,1.650801,10.267895,2024-03-24
Greece,10711963,GRC,39.074208,21.824312,2024-03-24
Grenada,112480,GRD,12.262776,-61.604171,2024-03-24
Greenland,56348,GRL,71.706936,-42.604303,2024-03-24
Guatemala,16852567,GTM,15.783471,-90.230759,2024-03-24
French Guiana,254469,GUF,3.933889,-53.125782,2024-03-24
Guam,168726,GUM,13.444304,144.793731,2024-03-24
Guyana,786366,GUY,4.860416,-58.93018,2024-03-24
Hong Kong,7498620,HKG,22.396428,114.109497,2024-03-24
Honduras,9901737,HND,15.199999,-86.241905,2024-03-24
Croatia,4045955,HRV,45.1,15.2,2024-03-24
Haiti,11398512,HTI,18.971187,-72.285215,2024-03-24
Hungary,9746743,HUN,47.162494,19.503304,2024-03-24
Indonesia,273446215,IDN,-0.789275,113.921327,2024-03-24
Isle of Man,85002,IMN,54.236107,-4.548056,2024-03-24
India,1379623976,IND,20.593684,78.96288,2024-03-24
British Indian Ocean Territory,2999,IOT,-6.343194,71.876519,2024-03-24
Ireland,67196949,IRL,53.41291,-8.24389,2024-03-24
Iran,83962962,IRN,32.427908,53.688046,2024-03-24
Iraq,40208371,IRQ,33.223191,43.679291,2024-03-24
Iceland,366337,ISL,64.963051,-19.020835,2024-03-24
Israel,9214683,ISR,31.046051,34.851612,2024-03-24
Italy,59539170,ITA,41.87194,12.56738,2024-03-24
Jamaica,2960365,JAM,18.109581,-77.297508,2024-03-24
Jersey,100773,JEY,49.214439,-2.13125,2024-03-24
Jordan,10200351,JOR,30.585164,36.238414,2024-03-24
Japan,125800803,JPN,36.204824,138.252924,2024-03-24
Kazakhstan,18749008,KAZ,48.019573,66.923684,2024-03-24
Kenya,53755618,KEN,-0.023559,37.906193,2024-03-24
Kyrgyzstan,6589822,KGZ,41.20438,74.766098,2024-03-24
Cambodia,16713916,KHM,12.565679,104.990963,2024-03-24
Kiribati,119404,KIR,-3.370417,-168.734039,2024-03-24
Saint Kitts and Nevis,53174,KNA,17.357822,-62.782998,2024-03-24
South Korea,51763391,KOR,35.907757,127.766922,2024-03-24
"Korea, Republic of",51762568,KOR,35.907757,127.766922,2024-03-24
Kuwait,4269100,KWT,29.31166,47.481766,2024-03-24
Laos,7273285,LAO,19.85627,102.495496,2024-03-24
