Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106755,ABW,12.52111,-69.968338,2024-04-01
Afghanistan,40214989,AFG,33.93911,67.709953,2024-04-01
Angola,32863323,AGO,-11.202692,17.873887,2024-04-01
Anguilla,13450,AIA,18.220554,-63.068615,2024-04-01
Åland Islands,29455,ALA,60.250716,20.374146,2024-04-01
Albania,2837442,ALB,41.153332,20.168331,2024-04-01
Andorra,77257,AND,42.546245,1.601554,2024-04-01
United Arab Emirates,9889404,ARE,23.424076,53.847818,2024-04-01
Argentina,45372650,ARG,-38.416097,-63.616672,2024-04-01
Armenia,2962880,ARM,40.069099,45.038189,2024-04-01
American Samoa,55192,ASM,-14.270972,-170.132217,2024-04-01
Antarctica,999,ATA,-75.250973,-0.071389,2024-04-01
French Southern Territories,399,ATF,-49.280366,69.348557,2024-04-01
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-04-01
Antigua and Barbuda,97919,ATG,17.060816,-61.796428,2024-04-01
Australia,25684054,AUS,-25.274398,133.775136,2024-04-01
Austria,8916478,AUT,47.516231,14.550072,2024-04-01
Azerbaijan,10109074,AZE,40.143105,47.576927,2024-04-01
Burundi,11889441,BDI,-3.373056,29.918886,2024-04-01
Belgium,11554843,BEL,50.503887,4.469936,2024-04-01
Benin,12122156,BEN,9.30769,2.315834,2024-04-01
"Bonaire, Sint Eustatius and Saba",25984,BES,12.183333,-68.233333,2024-04-01
Burkina Faso,20901519,BFA,12.238333,-1.561593,2024-04-01
Bangladesh,164671372,BGD,23.684994,90.356331,2024-04-01
Bulgaria,6926690,BGR,42.733883,25.48583,2024-04-01
Bahrain,1701414,BHR,25.930414,50.637772,2024-04-01
Bahamas,393211,BHS,25.03428,-77.39628,2024-04-01
The Bahamas,393214,BHS,25.03428,-77.39628,2024-04-01
Bosnia and Herzegovina,3280432,BIH,43.915886,17.679076,2024-04-01
Belarus,9398035,BLR,53.709807,27.953389,2024-04-01
Belize,397583,BLZ,17.189877,-88.49765,2024-04-01
Bermuda,63897,BMU,32.321384,-64.75737,2024-04-01
Bolivia,11671855,BOL,-16.290154,-63.588653,2024-04-01
Brazil,212536606,BRA,-14.235004,-51.92528,2024-04-01
Barbados,287339,BRB,13.193887,-59.543198,2024-04-01
Brunei,437444,BRN,4.535277,114.727669,2024-04-01
Brunei Darussalam,437443,BRN,4.535277,114.727669,2024-04-01
Bhutan,771547,BTN,27.514162,90.433601,2024-04-01
Burma,54405149,BUR,21.913965,95.956223,2024-04-01
Myanmar,54404088,MMR,21.913965,95.956223,2024-04-01
Botswana,2351384,BWA,-22.328474,24.684866,2024-04-01
Central African Republic,4829310,CAF,6.611111,20.939444,2024-04-01
Canada,38001528,CAN,56.130366,-106.346771,2024-04-01
Cocos (Keeling) Islands,543,CCK,-12.164165,96.870956,2024-04-01
Switzerland,8653719,CHE,46.818188,8.227512,2024-04-01
Chile,19114606,CHL,-35.675147,-71.542969,2024-04-01
China,1372735485,CHN,35.86166,104.195397,2024-04-01
Côte d'Ivoire,26375562,CIV,7.539989,-5.54708,2024-04-01
Cameroon,26542733,CMR,7.369722,12.354722,2024-04-01
Congo,5656327,COG,-0.228021,15.827659,2024-04-01
Cook Islands,18098,COK,-21.236736,-159.777671,2024-04-01
Colombia,50876788,COL,4.570868,-74.297333,2024-04-01
Comoros,869500,COM,-11.875001,43.872219,2024-04-01
Cape Verde,555934,CPV,16.002082,-24.013197,2024-04-01
Costa Rica,5093525,CRI,9.748917,-83.753428,2024-04-01
Cuba,11325678,CUB,21.521757,-77.781167,2024-04-01
Curaçao,154998,CUW,12.186111,-68.989444,2024-04-01
Christmas Island,2071,CXR,-10.447525,105.690449,2024-04-01
Cayman Islands,65712,CYM,19.513469,-80.566956,2024-04-01
Cyprus,1207242,CYP,35.126413,33.429859,2024-04-01
Czech Republic,10697780,CZE,49.817492,15.472962,2024-04-01
Czechia,10697703,CZE,49.817492,15.472962,2024-04-01
Germany,83231654,DEU,51.165691,10.451526,2024-04-01
Djibouti,987897,DJI,11.825138,42.590275,2024-04-01
Dominica,10846621,DMA,15.414999,-61.370976,2024-04-01
Denmark,5830776,DNK,56.26392,9.501785,2024-04-01
Dominican Republic,10846625,DOM,18.735693,-70.162651,2024-04-01
Algeria,44695539,DZA,28.033886,1.659626,2024-04-01
Ecuador,17641325,ECU,-1.831239,-78.183406,2024-04-01
Egypt,102323688,EGY,26.820553,30.802498,2024-04-01
Eritrea,5351526,ERI,15.179384,39.782334,2024-04-01
Western Sahara,510671,ESH,24.215527,-12.885834,2024-04-01
Spain,47346436,ESP,40.463667,-3.74922,2024-04-01
Estonia,1330913,EST,58.595272,25.013607,2024-04-01
Ethiopia,114954010,ETH,9.145,40.489673,2024-04-01
