Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106763,ABW,12.52111,-69.968338,2024-04-04
Afghanistan,40217406,AFG,33.93911,67.709953,2024-04-04
Angola,32865473,AGO,-11.202692,17.873887,2024-04-04
Anguilla,13451,AIA,18.220554,-63.068615,2024-04-04
Åland Islands,29457,ALA,60.250716,20.374146,2024-04-04
Albania,2837669,ALB,41.153332,20.168331,2024-04-04
Andorra,77263,AND,42.546245,1.601554,2024-04-04
United Arab Emirates,9890189,ARE,23.424076,53.847818,2024-04-04
Argentina,45375488,ARG,-38.416097,-63.616672,2024-04-04
Armenia,2963145,ARM,40.069099,45.038189,2024-04-04
American Samoa,55195,ASM,-14.270972,-170.132217,2024-04-04
Antarctica,999,ATA,-75.250973,-0.071389,2024-04-04
French Southern Territories,399,ATF,-49.280366,69.348557,2024-04-04
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-04-04
Antigua and Barbuda,97925,ATG,17.060816,-61.796428,2024-04-04
Australia,25686335,AUS,-25.274398,133.775136,2024-04-04
Austria,8917021,AUT,47.516231,14.550072,2024-04-04
Azerbaijan,10109868,AZE,40.143105,47.576927,2024-04-04
Burundi,11890452,BDI,-3.373056,29.918886,2024-04-04
Belgium,11555688,BEL,50.503887,4.469936,2024-04-04
Benin,12122921,BEN,9.30769,2.315834,2024-04-04
"Bonaire, Sint Eustatius and Saba",25986,BES,12.183333,-68.233333,2024-04-04
Burkina Faso,20902848,BFA,12.238333,-1.561593,2024-04-04
Bangladesh,164685454,BGD,23.684994,90.356331,2024-04-04
Bulgaria,6927134,BGR,42.733883,25.48583,2024-04-04
Bahrain,1701532,BHR,25.930414,50.637772,2024-04-04
Bahamas,393236,BHS,25.03428,-77.39628,2024-04-04
The Bahamas,393239,BHS,25.03428,-77.39628,2024-04-04
Bosnia and Herzegovina,3280741,BIH,43.915886,17.679076,2024-04-04
Belarus,9398591,BLR,53.709807,27.953389,2024-04-04
Belize,397609,BLZ,17.189877,-88.49765,2024-04-04
Bermuda,63901,BMU,32.321384,-64.75737,2024-04-04
Bolivia,11672693,BOL,-16.290154,-63.588653,2024-04-04
Brazil,212554347,BRA,-14.235004,-51.92528,2024-04-04
Barbados,287364,BRB,13.193887,-59.543198,2024-04-04
Brunei,437472,BRN,4.535277,114.727669,2024-04-04
Brunei Darussalam,437471,BRN,4.535277,114.727669,2024-04-04
Bhutan,771593,BTN,27.514162,90.433601,2024-04-04
Burma,54408615,BUR,21.913965,95.956223,2024-04-04
Myanmar,54408351,MMR,21.913965,95.956223,2024-04-04
Botswana,2351563,BWA,-22.328474,24.684866,2024-04-04
Central African Republic,4829653,CAF,6.611111,20.939444,2024-04-04
Canada,38004447,CAN,56.130366,-106.346771,2024-04-04
Cocos (Keeling) Islands,543,CCK,-12.164165,96.870956,2024-04-04
Switzerland,8654364,CHE,46.818188,8.227512,2024-04-04
Chile,19115659,CHL,-35.675147,-71.542969,2024-04-04
China,1372867040,CHN,35.86166,104.195397,2024-04-04
Côte d'Ivoire,26377515,CIV,7.539989,-5.54708,2024-04-04
Cameroon,26545309,CMR,7.369722,12.354722,2024-04-04
Congo,5656849,COG,-0.228021,15.827659,2024-04-04
