Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106748,ABW,12.52111,-69.968338,2024-03-30
Afghanistan,40211425,AFG,33.93911,67.709953,2024-03-30
Angola,32861869,AGO,-11.202692,17.873887,2024-03-30
Anguilla,13449,AIA,18.220554,-63.068615,2024-03-30
Åland Islands,29453,ALA,60.250716,20.374146,2024-03-30
Albania,2837347,ALB,41.153332,20.168331,2024-03-30
Andorra,77255,AND,42.546245,1.601554,2024-03-30
United Arab Emirates,9889030,ARE,23.424076,53.847818,2024-03-30
Argentina,45370498,ARG,-38.416097,-63.616672,2024-03-30
Armenia,2962871,ARM,40.069099,45.038189,2024-03-30
American Samoa,55189,ASM,-14.270972,-170.132217,2024-03-30
Antarctica,999,ATA,-75.250973,-0.071389,2024-03-30
French Southern Territories,399,ATF,-49.280366,69.348557,2024-03-30
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-03-30
Antigua and Barbuda,97910,ATG,17.060816,-61.796428,2024-03-30
Australia,25683418,AUS,-25.274398,133.775136,2024-03-30
Austria,8915819,AUT,47.516231,14.550072,2024-03-30
Azerbaijan,10108556,AZE,40.143105,47.576927,2024-03-30
Burundi,11888852,BDI,-3.373056,29.918886,2024-03-30
Belgium,11554105,BEL,50.503887,4.469936,2024-03-30
Benin,12121125,BEN,9.30769,2.315834,2024-03-30
"Bonaire, Sint Eustatius and Saba",25983,BES,12.183333,-68.233333,2024-03-30
Burkina Faso,20899734,BFA,12.238333,-1.561593,2024-03-30
Bangladesh,164668118,BGD,23.684994,90.356331,2024-03-30
Bulgaria,6926053,BGR,42.733883,25.48583,2024-03-30
Bahrain,1701310,BHR,25.930414,50.637772,2024-03-30
Bahamas,393179,BHS,25.03428,-77.39628,2024-03-30
The Bahamas,393197,BHS,25.03428,-77.39628,2024-03-30
Bosnia and Herzegovina,3280320,BIH,43.915886,17.679076,2024-03-30
Belarus,9397501,BLR,53.709807,27.953389,2024-03-30
Belize,397564,BLZ,17.189877,-88.49765,2024-03-30
Bermuda,63891,BMU,32.321384,-64.75737,2024-03-30
Bolivia,11671499,BOL,-16.290154,-63.588653,2024-03-30
Brazil,212522455,BRA,-14.235004,-51.92528,2024-03-30
Barbados,287319,BRB,13.193887,-59.543198,2024-03-30
Brunei,437405,BRN,4.535277,114.727669,2024-03-30
Brunei Darussalam,437414,BRN,4.535277,114.727669,2024-03-30
Bhutan,771510,BTN,27.514162,90.433601,2024-03-30
Burma,54400762,BUR,21.913965,95.956223,2024-03-30
Myanmar,54400900,MMR,21.913965,95.956223,2024-03-30
Botswana,2351268,BWA,-22.328474,24.684866,2024-03-30
Central African Republic,4829162,CAF,6.611111,20.939444,2024-03-30
Canada,38000667,CAN,56.130366,-106.346771,2024-03-30
Cocos (Keeling) Islands,543,CCK,-12.164165,96.870956,2024-03-30
Switzerland,8653295,CHE,46.818188,8.227512,2024-03-30
Chile,19113817,CHL,-35.675147,-71.542969,2024-03-30
China,1372701089,CHN,35.86166,104.195397,2024-03-30
Côte d'Ivoire,26374123,CIV,7.539989,-5.54708,2024-03-30
Cameroon,26542337,CMR,7.369722,12.354722,2024-03-30
Congo,5656314,COG,-0.228021,15.827659,2024-03-30
Cook Islands,18097,COK,-21.236736,-159.777671,2024-03-30
Colombia,50873920,COL,4.570868,-74.297333,2024-03-30
Comoros,869466,COM,-11.875001,43.872219,2024-03-30
Cape Verde,555917,CPV,16.002082,-24.013197,2024-03-30
Costa Rica,5093455,CRI,9.748917,-83.753428,2024-03-30
Cuba,11324697,CUB,21.521757,-77.781167,2024-03-30
Curaçao,154988,CUW,12.186111,-68.989444,2024-03-30
Christmas Island,2071,CXR,-10.447525,105.690449,2024-03-30
Cayman Islands,65708,CYM,19.513469,-80.566956,2024-03-30
Cyprus,1207161,CYP,35.126413,33.429859,2024-03-30
Czech Republic,10696994,CZE,49.817492,15.472962,2024-03-30
Czechia,10697265,CZE,49.817492,15.472962,2024-03-30
Germany,83227016,DEU,51.165691,10.451526,2024-03-30
Djibouti,987841,DJI,11.825138,42.590275,2024-03-30
Dominica,10846287,DMA,15.414999,-61.370976,2024-03-30
Denmark,5830624,DNK,56.26392,9.501785,2024-03-30
Dominican Republic,10845979,DOM,18.735693,-70.162651,2024-03-30
Algeria,44692499,DZA,28.033886,1.659626,2024-03-30
Ecuador,17640204,ECU,-1.831239,-78.183406,2024-03-30
Egypt,102318627,EGY,26.820553,30.802498,2024-03-30
Eritrea,5351265,ERI,15.179384,39.782334,2024-03-30
Western Sahara,510641,ESH,24.215527,-12.885834,2024-03-30
Spain,47344807,ESP,40.463667,-3.74922,2024-03-30
Estonia,1330853,EST,58.595272,25.013607,2024-03-30
Ethiopia,114948515,ETH,9.145,40.489673,2024-03-30
Finland,5529757,FIN,61.92411,25.748151,2024-03-30
Fiji,896304,FJI,-16.578193,179.414413,2024-03-30
Falkland Islands,2562,FLK,-51.796253,-59.523613,2024-03-30
Falkland Islands (Malvinas),2562,FLK,-51.796253,-59.523613,2024-03-30
France,67380598,FRA,46.227638,2.213749,2024-03-30
Faroe Islands,48857,FRO,61.892635,-6.911806,2024-03-30
Micronesia,115002,FSM,7.425554,150.550812,2024-03-30
"Micronesia, Federated States of",115002,FSM,7.425554,150.550812,2024-03-30
Gabon,2225348,GAB,-0.803689,11.609444,2024-03-30
Northern Ireland,67206492,GB-NIR,54.7,-6.7,2024-03-30
United Kingdom,67204948,GBR,55.378051,-3.435973,2024-03-30
United Kingdom of Great Britain and Northern Ireland,67205425,GBR,55.378051,-3.435973,2024-03-30
Georgia,3713392,GEO,42.315407,43.356892,2024-03-30
Guernsey,62990,GGY,49.465691,-2.585278,2024-03-30
Ghana,31068122,GHA,7.946527,-1.023194,2024-03-30
Gibraltar,33686,GIB,36.137741,-5.345374,2024-03-30
Guinea,1402779,GIN,9.945587,-9.696645,2024-03-30
Guadeloupe,400064,GLP,16.995971,-62.067641,2024-03-30
Gambia,2416291,GMB,13.443182,-15.310139,2024-03-30
The Gambia,2416259,GMB,13.443182,-15.310139,2024-03-30
Guinea-Bissau,1967689,GNB,11.803749,-15.180413,2024-03-30
Equatorial Guinea,1402762,GNQ,1.650801,10.267895,2024-03-30
Greece,10714172,GRC,39.074208,21.824312,2024-03-30
Grenada,112502,GRD,12.262776,-61.604171,2024-03-30
Greenland,56359,GRL,71.706936,-42.604303,2024-03-30
Guatemala,16856146,GTM,15.783471,-90.230759,2024-03-30
French Guiana,254499,GUF,3.933889,-53.125782,2024-03-30
Guam,168756,GUM,13.444304,144.793731,2024-03-30
Guyana,786457,GUY,4.860416,-58.93018,2024-03-30
Hong Kong,7499530,HKG,22.396428,114.109497,2024-03-30
Honduras,9903123,HND,15.199999,-86.241905,2024-03-30
Croatia,4046681,HRV,45.1,15.2,2024-03-30
Haiti,11400861,HTI,18.971187,-72.285215,2024-03-30
Hungary,9748046,HUN,47.162494,19.503304,2024-03-30
Indonesia,273477015,IDN,-0.789275,113.921327,2024-03-30
Isle of Man,85018,IMN,54.236107,-4.548056,2024-03-30
India,1379775706,IND,20.593684,78.96288,2024-03-30
British Indian Ocean Territory,2999,IOT,-6.343194,71.876519,2024-03-30
Ireland,67204496,IRL,53.41291,-8.24389,2024-03-30
Iran,83978565,IRN,32.427908,53.688046,2024-03-30
Iraq,40217659,IRQ,33.223191,43.679291,2024-03-30
Iceland,366362,ISL,64.963051,-19.020835,2024-03-30
Israel,9215559,ISR,31.046051,34.851612,2024-03-30
