Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106834,ABW,12.52111,-69.968338,2024-04-27
Afghanistan,40240679,AFG,33.93911,67.709953,2024-04-27
Angola,32886105,AGO,-11.202692,17.873887,2024-04-27
Anguilla,13460,AIA,18.220554,-63.068615,2024-04-27
Åland Islands,29474,ALA,60.250716,20.374146,2024-04-27
Albania,2839533,ALB,41.153332,20.168331,2024-04-27
Andorra,77310,AND,42.546245,1.601554,2024-04-27
United Arab Emirates,9896582,ARE,23.424076,53.847818,2024-04-27
Argentina,45400381,ARG,-38.416097,-63.616672,2024-04-27
Armenia,2965234,ARM,40.069099,45.038189,2024-04-27
American Samoa,55222,ASM,-14.270972,-170.132217,2024-04-27
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-27
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-27
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-27
Antigua and Barbuda,97982,ATG,17.060816,-61.796428,2024-04-27
Australia,25699299,AUS,-25.274398,133.775136,2024-04-27
Austria,8923075,AUT,47.516231,14.550072,2024-04-27
Azerbaijan,10115391,AZE,40.143105,47.576927,2024-04-27
Burundi,11898372,BDI,-3.373056,29.918886,2024-04-27
Belgium,11563280,BEL,50.503887,4.469936,2024-04-27
Benin,12129484,BEN,9.30769,2.315834,2024-04-27
"Bonaire, Sint Eustatius and Saba",26003,BES,12.183333,-68.233333,2024-04-27
Burkina Faso,20913105,BFA,12.238333,-1.561593,2024-04-27
Bangladesh,164786009,BGD,23.684994,90.356331,2024-04-27
Bulgaria,6931148,BGR,42.733883,25.48583,2024-04-27
Bahrain,1702465,BHR,25.930414,50.637772,2024-04-27
Bahamas,393451,BHS,25.03428,-77.39628,2024-04-27
The Bahamas,393450,BHS,25.03428,-77.39628,2024-04-27
Bosnia and Herzegovina,3282382,BIH,43.915886,17.679076,2024-04-27
Belarus,9403641,BLR,53.709807,27.953389,2024-04-27
Belize,397810,BLZ,17.189877,-88.49765,2024-04-27
Bermuda,63938,BMU,32.321384,-64.75737,2024-04-27
Bolivia,11680857,BOL,-16.290154,-63.588653,2024-04-27
Brazil,212664876,BRA,-14.235004,-51.92528,2024-04-27
Barbados,287542,BRB,13.193887,-59.543198,2024-04-27
Brunei,437715,BRN,4.535277,114.727669,2024-04-27
Brunei Darussalam,437754,BRN,4.535277,114.727669,2024-04-27
Bhutan,772074,BTN,27.514162,90.433601,2024-04-27
Burma,54445233,BUR,21.913965,95.956223,2024-04-27
Myanmar,54441656,MMR,21.913965,95.956223,2024-04-27
Botswana,2353227,BWA,-22.328474,24.684866,2024-04-27
Central African Republic,4832801,CAF,6.611111,20.939444,2024-04-27
Canada,38026113,CAN,56.130366,-106.346771,2024-04-27
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-27
Switzerland,8660517,CHE,46.818188,8.227512,2024-04-27
Chile,19127136,CHL,-35.675147,-71.542969,2024-04-27
China,1373774816,CHN,35.86166,104.195397,2024-04-27
Côte d'Ivoire,26393139,CIV,7.539989,-5.54708,2024-04-27
Cameroon,26563192,CMR,7.369722,12.354722,2024-04-27
Congo,5659790,COG,-0.228021,15.827659,2024-04-27
Cook Islands,18110,COK,-21.236736,-159.777671,2024-04-27
Colombia,50906875,COL,4.570868,-74.297333,2024-04-27
Comoros,870013,COM,-11.875001,43.872219,2024-04-27
Cape Verde,556370,CPV,16.002082,-24.013197,2024-04-27
Costa Rica,5096573,CRI,9.748917,-83.753428,2024-04-27
Cuba,11332717,CUB,21.521757,-77.781167,2024-04-27
Curaçao,155095,CUW,12.186111,-68.989444,2024-04-27
Christmas Island,2073,CXR,-10.447525,105.690449,2024-04-27
Cayman Islands,65755,CYM,19.513469,-80.566956,2024-04-27
Cyprus,1208037,CYP,35.126413,33.429859,2024-04-27
Czech Republic,10704963,CZE,49.817492,15.472962,2024-04-27
Czechia,10703823,CZE,49.817492,15.472962,2024-04-27
Germany,83288137,DEU,51.165691,10.451526,2024-04-27
Djibouti,988534,DJI,11.825138,42.590275,2024-04-27
Dominica,10853834,DMA,15.414999,-61.370976,2024-04-27
Denmark,5834520,DNK,56.26392,9.501785,2024-04-27
Dominican Republic,10854023,DOM,18.735693,-70.162651,2024-04-27
Algeria,44726150,DZA,28.033886,1.659626,2024-04-27
Ecuador,17653989,ECU,-1.831239,-78.183406,2024-04-27
Egypt,102390649,EGY,26.820553,30.802498,2024-04-27
Eritrea,5355386,ERI,15.179384,39.782334,2024-04-27
Western Sahara,510973,ESH,24.215527,-12.885834,2024-04-27
Spain,47383765,ESP,40.463667,-3.74922,2024-04-27
Estonia,1331834,EST,58.595272,25.013607,2024-04-27
Ethiopia,115032677,ETH,9.145,40.489673,2024-04-27
Finland,5534303,FIN,61.92411,25.748151,2024-04-27
Fiji,897031,FJI,-16.578193,179.414413,2024-04-27
Falkland Islands,2564,FLK,-51.796253,-59.523613,2024-04-27
Falkland Islands (Malvinas),2564,FLK,-51.796253,-59.523613,2024-04-27
France,67428338,FRA,46.227638,2.213749,2024-04-27
Faroe Islands,48896,FRO,61.892635,-6.911806,2024-04-27
Micronesia,115087,FSM,7.425554,150.550812,2024-04-27
"Micronesia, Federated States of",115094,FSM,7.425554,150.550812,2024-04-27
Gabon,2226824,GAB,-0.803689,11.609444,2024-04-27
Northern Ireland,67254991,GB-NIR,54.7,-6.7,2024-04-27
United Kingdom,67255047,GBR,55.378051,-3.435973,2024-04-27
United Kingdom of Great Britain and Northern Ireland,67251316,GBR,55.378051,-3.435973,2024-04-27
Georgia,3715735,GEO,42.315407,43.356892,2024-04-27
Guernsey,63041,GGY,49.465691,-2.585278,2024-04-27
Ghana,31092138,GHA,7.946527,-1.023194,2024-04-27
Gibraltar,33710,GIB,36.137741,-5.345374,2024-04-27
Guinea,1403865,GIN,9.945587,-9.696645,2024-04-27
Guadeloupe,400378,GLP,16.995971,-62.067641,2024-04-27
Gambia,2417914,GMB,13.443182,-15.310139,2024-04-27
The Gambia,2417989,GMB,13.443182,-15.310139,2024-04-27
Guinea-Bissau,1969132,GNB,11.803749,-15.180413,2024-04-27
Equatorial Guinea,1403860,GNQ,1.650801,10.267895,2024-04-27
Greece,10720519,GRC,39.074208,21.824312,2024-04-27
Grenada,112595,GRD,12.262776,-61.604171,2024-04-27
Greenland,56399,GRL,71.706936,-42.604303,2024-04-27
Guatemala,16866363,GTM,15.783471,-90.230759,2024-04-27
French Guiana,254683,GUF,3.933889,-53.125782,2024-04-27
Guam,168883,GUM,13.444304,144.793731,2024-04-27
Guyana,787013,GUY,4.860416,-58.93018,2024-04-27
Hong Kong,7505034,HKG,22.396428,114.109497,2024-04-27
Honduras,9909729,HND,15.199999,-86.241905,2024-04-27
Croatia,4049514,HRV,45.1,15.2,2024-04-27
Haiti,11409072,HTI,18.971187,-72.285215,2024-04-27
Hungary,9754747,HUN,47.162494,19.503304,2024-04-27
Indonesia,273679395,IDN,-0.789275,113.921327,2024-04-27
Isle of Man,85079,IMN,54.236107,-4.548056,2024-04-27
India,1380826171,IND,20.593684,78.96288,2024-04-27
British Indian Ocean Territory,3001,IOT,-6.343194,71.876519,2024-04-27
Ireland,67252152,IRL,53.41291,-8.24389,2024-04-27
Iran,84049465,IRN,32.427908,53.688046,2024-04-27
Iraq,40242311,IRQ,33.223191,43.679291,2024-04-27
Iceland,366598,ISL,64.963051,-19.020835,2024-04-27
Israel,9221508,ISR,31.046051,34.851612,2024-04-27
Italy,59583158,ITA,41.87194,12.56738,2024-04-27
Jamaica,2962908,JAM,18.109581,-77.297508,2024-04-27
Jersey,100855,JEY,49.214439,-2.13125,2024-04-27
Jordan,10208212,JOR,30.585164,36.238414,2024-04-27
Japan,125896358,JPN,36.204824,138.252924,2024-04-27
Kazakhstan,18763676,KAZ,48.019573,66.923684,2024-04-27
