Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106739,ABW,12.52111,-69.968338,2024-03-25
Afghanistan,40205652,AFG,33.93911,67.709953,2024-03-25
Angola,32857682,AGO,-11.202692,17.873887,2024-03-25
Anguilla,13447,AIA,18.220554,-63.068615,2024-03-25
Åland Islands,29449,ALA,60.250716,20.374146,2024-03-25
Albania,2836949,ALB,41.153332,20.168331,2024-03-25
Andorra,77240,AND,42.546245,1.601554,2024-03-25
United Arab Emirates,9887853,ARE,23.424076,53.847818,2024-03-25
Argentina,45363043,ARG,-38.416097,-63.616672,2024-03-25
Armenia,2962297,ARM,40.069099,45.038189,2024-03-25
American Samoa,55180,ASM,-14.270972,-170.132217,2024-03-25
Antarctica,999,ATA,-75.250973,-0.071389,2024-03-25
French Southern Territories,399,ATF,-49.280366,69.348557,2024-03-25
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-03-25
Antigua and Barbuda,97902,ATG,17.060816,-61.796428,2024-03-25
Australia,25678820,AUS,-25.274398,133.775136,2024-03-25
Austria,8914601,AUT,47.516231,14.550072,2024-03-25
Azerbaijan,10107786,AZE,40.143105,47.576927,2024-03-25
Burundi,11887708,BDI,-3.373056,29.918886,2024-03-25
Belgium,11553435,BEL,50.503887,4.469936,2024-03-25
Benin,12120273,BEN,9.30769,2.315834,2024-03-25
"Bonaire, Sint Eustatius and Saba",25981,BES,12.183333,-68.233333,2024-03-25
Burkina Faso,20896534,BFA,12.238333,-1.561593,2024-03-25
Bangladesh,164637797,BGD,23.684994,90.356331,2024-03-25
Bulgaria,6925260,BGR,42.733883,25.48583,2024-03-25
Bahrain,1701181,BHR,25.930414,50.637772,2024-03-25
Bahamas,393121,BHS,25.03428,-77.39628,2024-03-25
The Bahamas,393157,BHS,25.03428,-77.39628,2024-03-25
Bosnia and Herzegovina,3280069,BIH,43.915886,17.679076,2024-03-25
Belarus,9396450,BLR,53.709807,27.953389,2024-03-25
Belize,397492,BLZ,17.189877,-88.49765,2024-03-25
Bermuda,63886,BMU,32.321384,-64.75737,2024-03-25
Bolivia,11670434,BOL,-16.290154,-63.588653,2024-03-25
Brazil,212502644,BRA,-14.235004,-51.92528,2024-03-25
Barbados,287295,BRB,13.193887,-59.543198,2024-03-25
Brunei,437347,BRN,4.535277,114.727669,2024-03-25
Brunei Darussalam,437359,BRN,4.535277,114.727669,2024-03-25
Bhutan,771436,BTN,27.514162,90.433601,2024-03-25
Burma,54396940,BUR,21.913965,95.956223,2024-03-25
Myanmar,54395287,MMR,21.913965,95.956223,2024-03-25
Botswana,2351051,BWA,-22.328474,24.684866,2024-03-25
Central African Republic,4828309,CAF,6.611111,20.939444,2024-03-25
Canada,37995476,CAN,56.130366,-106.346771,2024-03-25
Cocos (Keeling) Islands,543,CCK,-12.164165,96.870956,2024-03-25
Switzerland,8652402,CHE,46.818188,8.227512,2024-03-25
Chile,19111545,CHL,-35.675147,-71.542969,2024-03-25
China,1372537639,CHN,35.86166,104.195397,2024-03-25
Côte d'Ivoire,26371168,CIV,7.539989,-5.54708,2024-03-25
Cameroon,26537540,CMR,7.369722,12.354722,2024-03-25
Congo,5655418,COG,-0.228021,15.827659,2024-03-25
Cook Islands,18095,COK,-21.236736,-159.777671,2024-03-25
Colombia,50867238,COL,4.570868,-74.297333,2024-03-25
Comoros,869378,COM,-11.875001,43.872219,2024-03-25
Cape Verde,555861,CPV,16.002082,-24.013197,2024-03-25
Costa Rica,5092978,CRI,9.748917,-83.753428,2024-03-25
Cuba,11323101,CUB,21.521757,-77.781167,2024-03-25
Curaçao,154969,CUW,12.186111,-68.989444,2024-03-25
Christmas Island,2071,CXR,-10.447525,105.690449,2024-03-25
Cayman Islands,65704,CYM,19.513469,-80.566956,2024-03-25
Cyprus,1207085,CYP,35.126413,33.429859,2024-03-25
Czech Republic,10695476,CZE,49.817492,15.472962,2024-03-25
Czechia,10696376,CZE,49.817492,15.472962,2024-03-25
Germany,83221625,DEU,51.165691,10.451526,2024-03-25
Djibouti,987676,DJI,11.825138,42.590275,2024-03-25
Dominica,10845434,DMA,15.414999,-61.370976,2024-03-25
Denmark,5829659,DNK,56.26392,9.501785,2024-03-25
Dominican Republic,10844387,DOM,18.735693,-70.162651,2024-03-25
Algeria,44688661,DZA,28.033886,1.659626,2024-03-25
Ecuador,17638033,ECU,-1.831239,-78.183406,2024-03-25
Egypt,102307295,EGY,26.820553,30.802498,2024-03-25
Eritrea,5350657,ERI,15.179384,39.782334,2024-03-25
Western Sahara,510576,ESH,24.215527,-12.885834,2024-03-25
Spain,47338317,ESP,40.463667,-3.74922,2024-03-25
Estonia,1330713,EST,58.595272,25.013607,2024-03-25
Ethiopia,114930877,ETH,9.145,40.489673,2024-03-25
Finland,5529135,FIN,61.92411,25.748151,2024-03-25
Fiji,896185,FJI,-16.578193,179.414413,2024-03-25
Falkland Islands,2562,FLK,-51.796253,-59.523613,2024-03-25
Falkland Islands (Malvinas),2562,FLK,-51.796253,-59.523613,2024-03-25
France,67369638,FRA,46.227638,2.213749,2024-03-25
Faroe Islands,48851,FRO,61.892635,-6.911806,2024-03-25
Micronesia,114991,FSM,7.425554,150.550812,2024-03-25
"Micronesia, Federated States of",114987,FSM,7.425554,150.550812,2024-03-25
Gabon,2225119,GAB,-0.803689,11.609444,2024-03-25
Northern Ireland,67196887,GB-NIR,54.7,-6.7,2024-03-25
United Kingdom,67194006,GBR,55.378051,-3.435973,2024-03-25
United Kingdom of Great Britain and Northern Ireland,67198947,GBR,55.378051,-3.435973,2024-03-25
Georgia,3712984,GEO,42.315407,43.356892,2024-03-25
Guernsey,62984,GGY,49.465691,-2.585278,2024-03-25
Ghana,31065962,GHA,7.946527,-1.023194,2024-03-25
Gibraltar,33683,GIB,36.137741,-5.345374,2024-03-25
Guinea,1402547,GIN,9.945587,-9.696645,2024-03-25
Guadeloupe,400014,GLP,16.995971,-62.067641,2024-03-25
Gambia,2415909,GMB,13.443182,-15.310139,2024-03-25
The Gambia,2416092,GMB,13.443182,-15.310139,2024-03-25
Guinea-Bissau,1967499,GNB,11.803749,-15.180413,2024-03-25
Equatorial Guinea,1402593,GNQ,1.650801,10.267895,2024-03-25
Greece,10712241,GRC,39.074208,21.824312,2024-03-25
Grenada,112484,GRD,12.262776,-61.604171,2024-03-25
Greenland,56352,GRL,71.706936,-42.604303,2024-03-25
Guatemala,16852808,GTM,15.783471,-90.230759,2024-03-25
French Guiana,254465,GUF,3.933889,-53.125782,2024-03-25
Guam,168737,GUM,13.444304,144.793731,2024-03-25
Guyana,786358,GUY,4.860416,-58.93018,2024-03-25
Hong Kong,7498958,HKG,22.396428,114.109497,2024-03-25
Honduras,9901649,HND,15.199999,-86.241905,2024-03-25
Croatia,4046246,HRV,45.1,15.2,2024-03-25
Haiti,11398907,HTI,18.971187,-72.285215,2024-03-25
Hungary,9746661,HUN,47.162494,19.503304,2024-03-25
Indonesia,273454097,IDN,-0.789275,113.921327,2024-03-25
Isle of Man,85011,IMN,54.236107,-4.548056,2024-03-25
India,1379619854,IND,20.593684,78.96288,2024-03-25
British Indian Ocean Territory,2999,IOT,-6.343194,71.876519,2024-03-25
Ireland,67196402,IRL,53.41291,-8.24389,2024-03-25
Iran,83972245,IRN,32.427908,53.688046,2024-03-25
Iraq,40211711,IRQ,33.223191,43.679291,2024-03-25
Iceland,366304,ISL,64.963051,-19.020835,2024-03-25
Israel,9214314,ISR,31.046051,34.851612,2024-03-25
Italy,59536585,ITA,41.87194,12.56738,2024-03-25
Jamaica,2960466,JAM,18.109581,-77.297508,2024-03-25
Jersey,100773,JEY,49.214439,-2.13125,2024-03-25
Jordan,10200692,JOR,30.585164,36.238414,2024-03-25
Japan,125803781,JPN,36.204824,138.252924,2024-03-25
Kazakhstan,18748769,KAZ,48.019573,66.923684,2024-03-25
Kenya,53756232,KEN,-0.023559,37.906193,2024-03-25
Kyrgyzstan,6589831,KGZ,41.20438,74.766098,2024-03-25
Cambodia,16715268,KHM,12.565679,104.990963,2024-03-25
Kiribati,119409,KIR,-3.370417,-168.734039,2024-03-25
Saint Kitts and Nevis,53179,KNA,17.357822,-62.782998,2024-03-25
South Korea,51763987,KOR,35.907757,127.766922,2024-03-25
"Korea, Republic of",51765506,KOR,35.907757,127.766922,2024-03-25
Kuwait,4269347,KWT,29.31166,47.481766,2024-03-25
Laos,7273167,LAO,19.85627,102.495496,2024-03-25
Lao People's Democratic Republic,7273164,LAO,19.85627,102.495496,2024-03-25
Lebanon,6823494,LBN,33.854721,35.862285,2024-03-25
Liberia,5056305,LBR,6.428055,-9.429499,2024-03-25
Libya,6869423,LBY,26.3351,17.228331,2024-03-25
Saint Lucia,183574,LCA,13.909444,-60.978893,2024-03-25
Liechtenstein,38125,LIE,47.166,9.555373,2024-03-25
Sri Lanka,21913170,LKA,7.873054,80.771797,2024-03-25
Lesotho,2141724,LSO,-29.609988,28.233608,2024-03-25
Lithuania,2793971,LTU,55.169438,23.881275,2024-03-25
Luxembourg,632116,LUX,49.815273,6.129583,2024-03-25
Latvia,1901077,LVA,56.879635,24.603189,2024-03-25
Macau,649193,MAC,22.198745,113.543873,2024-03-25
Macao,649173,MAC,22.198745,113.543873,2024-03-25
Saint Martin (French part),38649,MAF,18.082502,-63.051991,2024-03-25
Morocco,36901542,MAR,31.791702,-7.09262,2024-03-25
Monaco,39232,MCO,43.750298,7.412841,2024-03-25
Moldova,2617178,MDA,47.411631,28.369885,2024-03-25
"Moldova, Republic of",2617032,MDA,47.411631,28.369885,2024-03-25
Madagascar,27684217,MDG,-18.766947,46.869107,2024-03-25
Maldives,540397,MDV,3.202778,73.22068,2024-03-25
Mexico,128896926,MEX,23.634501,-102.552784,2024-03-25
Marshall Islands,59175,MHL,7.131474,171.184478,2024-03-25
North Macedonia,2076531,MKD,41.608635,21.745275,2024-03-25
Mali,20245128,MLI,17.570692,-3.996166,2024-03-25
Malta,525125,MLT,35.937496,14.375416,2024-03-25
Montenegro,621518,MNE,42.708678,19.37439,2024-03-25
Mongolia,3277515,MNG,46.862496,103.846656,2024-03-25
Northern Mariana Islands,57543,MNP,17.33083,145.38469,2024-03-25
Mozambique,31247437,MOZ,-18.665695,35.529562,2024-03-25
Mauritania,4648569,MRT,21.00789,-10.940835,2024-03-25
Montserrat,4920,MSR,16.742498,-62.187366,2024-03-25
Martinique,378119,MTQ,14.641528,-61.024174,2024-03-25
Mauritius,1265426,MUS,-20.348404,57.552152,2024-03-25
Malawi,19123993,MWI,-13.254308,34.301525,2024-03-25
Malaysia,32357675,MYS,4.210484,101.975766,2024-03-25
Mayotte,226846,MYT,-12.8275,45.166244,2024-03-25
Namibia,2540317,NAM,-22.95764,18.49041,2024-03-25
New Caledonia,271889,NCL,-20.904305,165.618042,2024-03-25
Niger,206088939,NER,17.607789,8.081666,2024-03-25
Norfolk Island,2301,NFK,-29.040835,167.954712,2024-03-25
Nigeria,206086742,NGA,9.081999,8.675277,2024-03-25
Nicaragua,6622807,NIC,12.865416,-85.207229,2024-03-25
Niue,1469,NIU,-19.054445,-169.867233,2024-03-25
Netherlands,16650901,NLD,52.132633,5.291266,2024-03-25
Norway,5378177,NOR,60.472024,8.468946,2024-03-25
Nepal,29127629,NPL,28.394857,84.124008,2024-03-25
Nauru,10831,NRU,-0.522778,166.931503,2024-03-25
New Zealand,5083056,NZL,-40.900557,174.885971,2024-03-25
Oman,19280480,OMN,21.512583,55.923255,2024-03-25
Pakistan,220819446,PAK,30.375321,69.345116,2024-03-25
Panama,4313393,PAN,8.537981,-80.782127,2024-03-25
Pitcairn Islands,55,PCN,-24.703615,-127.439308,2024-03-25
Pitcairn,55,PCN,-24.703615,-127.439308,2024-03-25
Peru,32962969,PER,-9.189967,-75.015152,2024-03-25
Philippines,109552626,PHL,12.879721,121.774017,2024-03-25
Palau,18086,PLW,7.51498,134.58252,2024-03-25
Papua New Guinea,8944744,PNG,-6.314993,143.95555,2024-03-25
Poland,37941706,POL,51.919438,19.145136,2024-03-25
Puerto Rico,3193150,PRI,18.220833,-66.590149,2024-03-25
North Korea,25771280,PRK,40.339852,127.510093,2024-03-25
Portugal,10302442,PRT,39.399872,-8.224454,2024-03-25
Paraguay,7130360,PRY,-23.442503,-58.443832,2024-03-25
"Palestine, State of",4801988,PSE,31.952162,35.233154,2024-03-25
French Polynesia,280811,PYF,-17.679742,-149.406843,2024-03-25
Qatar,2880219,QAT,25.354826,51.183884,2024-03-25
Réunion,840733,REU,-21.115141,55.536384,2024-03-25
Zimbabwe,14858181,ZWE,-19.015438,29.154857,2024-03-25
Romania,19279915,ROU,45.943161,24.96676,2024-03-25
Russian Federation,144057255,RUS,61.52401,105.318756,2024-03-25
