Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106844,ABW,12.52111,-69.968338,2024-04-29
Afghanistan,40242184,AFG,33.93911,67.709953,2024-04-29
Angola,32888291,AGO,-11.202692,17.873887,2024-04-29
Anguilla,13459,AIA,18.220554,-63.068615,2024-04-29
Åland Islands,29479,ALA,60.250716,20.374146,2024-04-29
Albania,2839825,ALB,41.153332,20.168331,2024-04-29
Andorra,77315,AND,42.546245,1.601554,2024-04-29
United Arab Emirates,9896014,ARE,23.424076,53.847818,2024-04-29
Argentina,45400961,ARG,-38.416097,-63.616672,2024-04-29
Armenia,2964803,ARM,40.069099,45.038189,2024-04-29
American Samoa,55238,ASM,-14.270972,-170.132217,2024-04-29
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-29
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-29
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-29
Antigua and Barbuda,97984,ATG,17.060816,-61.796428,2024-04-29
Australia,25700437,AUS,-25.274398,133.775136,2024-04-29
Austria,8923835,AUT,47.516231,14.550072,2024-04-29
Azerbaijan,10116927,AZE,40.143105,47.576927,2024-04-29
Burundi,11898394,BDI,-3.373056,29.918886,2024-04-29
Belgium,11563227,BEL,50.503887,4.469936,2024-04-29
Benin,12130046,BEN,9.30769,2.315834,2024-04-29
"Bonaire, Sint Eustatius and Saba",26001,BES,12.183333,-68.233333,2024-04-29
Burkina Faso,20918803,BFA,12.238333,-1.561593,2024-04-29
Bangladesh,164791032,BGD,23.684994,90.356331,2024-04-29
Bulgaria,6931145,BGR,42.733883,25.48583,2024-04-29
Bahrain,1702510,BHR,25.930414,50.637772,2024-04-29
Bahamas,393533,BHS,25.03428,-77.39628,2024-04-29
The Bahamas,393502,BHS,25.03428,-77.39628,2024-04-29
Bosnia and Herzegovina,3283040,BIH,43.915886,17.679076,2024-04-29
Belarus,9405840,BLR,53.709807,27.953389,2024-04-29
Belize,397829,BLZ,17.189877,-88.49765,2024-04-29
Bermuda,63937,BMU,32.321384,-64.75737,2024-04-29
Bolivia,11681330,BOL,-16.290154,-63.588653,2024-04-29
Brazil,212704086,BRA,-14.235004,-51.92528,2024-04-29
Barbados,287514,BRB,13.193887,-59.543198,2024-04-29
Brunei,437774,BRN,4.535277,114.727669,2024-04-29
Brunei Darussalam,437796,BRN,4.535277,114.727669,2024-04-29
Bhutan,772048,BTN,27.514162,90.433601,2024-04-29
Burma,54448659,BUR,21.913965,95.956223,2024-04-29
Myanmar,54447470,MMR,21.913965,95.956223,2024-04-29
Botswana,2353279,BWA,-22.328474,24.684866,2024-04-29
Central African Republic,4832508,CAF,6.611111,20.939444,2024-04-29
Canada,38032093,CAN,56.130366,-106.346771,2024-04-29
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-29
Switzerland,8660326,CHE,46.818188,8.227512,2024-04-29
Chile,19128205,CHL,-35.675147,-71.542969,2024-04-29
China,1373725653,CHN,35.86166,104.195397,2024-04-29
Côte d'Ivoire,26393272,CIV,7.539989,-5.54708,2024-04-29
Cameroon,26561991,CMR,7.369722,12.354722,2024-04-29
Congo,5660423,COG,-0.228021,15.827659,2024-04-29
Cook Islands,18111,COK,-21.236736,-159.777671,2024-04-29
Colombia,50913847,COL,4.570868,-74.297333,2024-04-29
Comoros,870186,COM,-11.875001,43.872219,2024-04-29
Cape Verde,556268,CPV,16.002082,-24.013197,2024-04-29
Costa Rica,5096796,CRI,9.748917,-83.753428,2024-04-29
Cuba,11332311,CUB,21.521757,-77.781167,2024-04-29
Curaçao,155108,CUW,12.186111,-68.989444,2024-04-29
Christmas Island,2073,CXR,-10.447525,105.690449,2024-04-29
