Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106773,ABW,12.52111,-69.968338,2024-04-08
Afghanistan,40221664,AFG,33.93911,67.709953,2024-04-08
Angola,32868723,AGO,-11.202692,17.873887,2024-04-08
Anguilla,13453,AIA,18.220554,-63.068615,2024-04-08
Åland Islands,29459,ALA,60.250716,20.374146,2024-04-08
Albania,2837942,ALB,41.153332,20.168331,2024-04-08
Andorra,77271,AND,42.546245,1.601554,2024-04-08
United Arab Emirates,9891043,ARE,23.424076,53.847818,2024-04-08
Argentina,45380584,ARG,-38.416097,-63.616672,2024-04-08
Armenia,2963445,ARM,40.069099,45.038189,2024-04-08
American Samoa,55201,ASM,-14.270972,-170.132217,2024-04-08
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-08
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-08
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-08
Antigua and Barbuda,97935,ATG,17.060816,-61.796428,2024-04-08
Australia,25688826,AUS,-25.274398,133.775136,2024-04-08
Austria,8917753,AUT,47.516231,14.550072,2024-04-08
Azerbaijan,10110954,AZE,40.143105,47.576927,2024-04-08
Burundi,11891826,BDI,-3.373056,29.918886,2024-04-08
Belgium,11556975,BEL,50.503887,4.469936,2024-04-08
Benin,12124179,BEN,9.30769,2.315834,2024-04-08
"Bonaire, Sint Eustatius and Saba",25988,BES,12.183333,-68.233333,2024-04-08
Burkina Faso,20904853,BFA,12.238333,-1.561593,2024-04-08
Bangladesh,164703700,BGD,23.684994,90.356331,2024-04-08
Bulgaria,6927752,BGR,42.733883,25.48583,2024-04-08
Bahrain,1701710,BHR,25.930414,50.637772,2024-04-08
Bahamas,393282,BHS,25.03428,-77.39628,2024-04-08
The Bahamas,393276,BHS,25.03428,-77.39628,2024-04-08
Bosnia and Herzegovina,3281099,BIH,43.915886,17.679076,2024-04-08
Belarus,9399555,BLR,53.709807,27.953389,2024-04-08
Belize,397656,BLZ,17.189877,-88.49765,2024-04-08
Bermuda,63908,BMU,32.321384,-64.75737,2024-04-08
Bolivia,11673918,BOL,-16.290154,-63.588653,2024-04-08
Brazil,212575321,BRA,-14.235004,-51.92528,2024-04-08
Barbados,287395,BRB,13.193887,-59.543198,2024-04-08
Brunei,437521,BRN,4.535277,114.727669,2024-04-08
Brunei Darussalam,437515,BRN,4.535277,114.727669,2024-04-08
Bhutan,771661,BTN,27.514162,90.433601,2024-04-08
Burma,54413429,BUR,21.913965,95.956223,2024-04-08
Myanmar,54413224,MMR,21.913965,95.956223,2024-04-08
Botswana,2351799,BWA,-22.328474,24.684866,2024-04-08
Central African Republic,4830091,CAF,6.611111,20.939444,2024-04-08
Canada,38008042,CAN,56.130366,-106.346771,2024-04-08
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-08
Switzerland,8655392,CHE,46.818188,8.227512,2024-04-08
Chile,19117866,CHL,-35.675147,-71.542969,2024-04-08
China,1373003292,CHN,35.86166,104.195397,2024-04-08
Côte d'Ivoire,26379934,CIV,7.539989,-5.54708,2024-04-08
Cameroon,26547710,CMR,7.369722,12.354722,2024-04-08
Congo,5657508,COG,-0.228021,15.827659,2024-04-08
Cook Islands,18101,COK,-21.236736,-159.777671,2024-04-08
Colombia,50886214,COL,4.570868,-74.297333,2024-04-08
Comoros,869666,COM,-11.875001,43.872219,2024-04-08
Cape Verde,556024,CPV,16.002082,-24.013197,2024-04-08
Costa Rica,5094496,CRI,9.748917,-83.753428,2024-04-08
Cuba,11327459,CUB,21.521757,-77.781167,2024-04-08
Curaçao,155026,CUW,12.186111,-68.989444,2024-04-08
Christmas Island,2072,CXR,-10.447525,105.690449,2024-04-08
