Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106757,ABW,12.52111,-69.968338,2024-04-02
Afghanistan,40215810,AFG,33.93911,67.709953,2024-04-02
Angola,32863676,AGO,-11.202692,17.873887,2024-04-02
Anguilla,13451,AIA,18.220554,-63.068615,2024-04-02
Åland Islands,29456,ALA,60.250716,20.374146,2024-04-02
Albania,2837521,ALB,41.153332,20.168331,2024-04-02
Andorra,77258,AND,42.546245,1.601554,2024-04-02
United Arab Emirates,9889681,ARE,23.424076,53.847818,2024-04-02
Argentina,45373506,ARG,-38.416097,-63.616672,2024-04-02
Armenia,2963048,ARM,40.069099,45.038189,2024-04-02
American Samoa,55192,ASM,-14.270972,-170.132217,2024-04-02
Antarctica,999,ATA,-75.250973,-0.071389,2024-04-02
French Southern Territories,399,ATF,-49.280366,69.348557,2024-04-02
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-04-02
Antigua and Barbuda,97920,ATG,17.060816,-61.796428,2024-04-02
Australia,25684912,AUS,-25.274398,133.775136,2024-04-02
Austria,8916571,AUT,47.516231,14.550072,2024-04-02
Azerbaijan,10109443,AZE,40.143105,47.576927,2024-04-02
Burundi,11889771,BDI,-3.373056,29.918886,2024-04-02
Belgium,11555174,BEL,50.503887,4.469936,2024-04-02
Benin,12122199,BEN,9.30769,2.315834,2024-04-02
"Bonaire, Sint Eustatius and Saba",25985,BES,12.183333,-68.233333,2024-04-02
Burkina Faso,20901437,BFA,12.238333,-1.561593,2024-04-02
Bangladesh,164676600,BGD,23.684994,90.356331,2024-04-02
Bulgaria,6926725,BGR,42.733883,25.48583,2024-04-02
Bahrain,1701458,BHR,25.930414,50.637772,2024-04-02
Bahamas,393222,BHS,25.03428,-77.39628,2024-04-02
The Bahamas,393219,BHS,25.03428,-77.39628,2024-04-02
Bosnia and Herzegovina,3280536,BIH,43.915886,17.679076,2024-04-02
Belarus,9398200,BLR,53.709807,27.953389,2024-04-02
Belize,397593,BLZ,17.189877,-88.49765,2024-04-02
