Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106752,ABW,12.52111,-69.968338,2024-03-31
Afghanistan,40212824,AFG,33.93911,67.709953,2024-03-31
Angola,32861551,AGO,-11.202692,17.873887,2024-03-31
Anguilla,13450,AIA,18.220554,-63.068615,2024-03-31
Åland Islands,29454,ALA,60.250716,20.374146,2024-03-31
Albania,2837343,ALB,41.153332,20.168331,2024-03-31
Andorra,77255,AND,42.546245,1.601554,2024-03-31
United Arab Emirates,9889243,ARE,23.424076,53.847818,2024-03-31
Argentina,45370270,ARG,-38.416097,-63.616672,2024-03-31
Armenia,2962923,ARM,40.069099,45.038189,2024-03-31
American Samoa,55190,ASM,-14.270972,-170.132217,2024-03-31
Antarctica,999,ATA,-75.250973,-0.071389,2024-03-31
French Southern Territories,399,ATF,-49.280366,69.348557,2024-03-31
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-03-31
Antigua and Barbuda,97913,ATG,17.060816,-61.796428,2024-03-31
Australia,25683470,AUS,-25.274398,133.775136,2024-03-31
Austria,8916265,AUT,47.516231,14.550072,2024-03-31
Azerbaijan,10109093,AZE,40.143105,47.576927,2024-03-31
Burundi,11889477,BDI,-3.373056,29.918886,2024-03-31
Belgium,11554635,BEL,50.503887,4.469936,2024-03-31
Benin,12121491,BEN,9.30769,2.315834,2024-03-31
"Bonaire, Sint Eustatius and Saba",25984,BES,12.183333,-68.233333,2024-03-31
Burkina Faso,20901029,BFA,12.238333,-1.561593,2024-03-31
Bangladesh,164669728,BGD,23.684994,90.356331,2024-03-31
Bulgaria,6926331,BGR,42.733883,25.48583,2024-03-31
Bahrain,1701330,BHR,25.930414,50.637772,2024-03-31
Bahamas,393193,BHS,25.03428,-77.39628,2024-03-31
The Bahamas,393197,BHS,25.03428,-77.39628,2024-03-31
Bosnia and Herzegovina,3280465,BIH,43.915886,17.679076,2024-03-31
Belarus,9397571,BLR,53.709807,27.953389,2024-03-31
Belize,397562,BLZ,17.189877,-88.49765,2024-03-31
Bermuda,63893,BMU,32.321384,-64.75737,2024-03-31
Bolivia,11671408,BOL,-16.290154,-63.588653,2024-03-31
Brazil,212528738,BRA,-14.235004,-51.92528,2024-03-31
Barbados,287341,BRB,13.193887,-59.543198,2024-03-31
Brunei,437433,BRN,4.535277,114.727669,2024-03-31
Brunei Darussalam,437425,BRN,4.535277,114.727669,2024-03-31
Bhutan,771525,BTN,27.514162,90.433601,2024-03-31
Burma,54402855,BUR,21.913965,95.956223,2024-03-31
Myanmar,54402932,MMR,21.913965,95.956223,2024-03-31
Botswana,2351351,BWA,-22.328474,24.684866,2024-03-31
Central African Republic,4829274,CAF,6.611111,20.939444,2024-03-31
Canada,38000276,CAN,56.130366,-106.346771,2024-03-31
Cocos (Keeling) Islands,543,CCK,-12.164165,96.870956,2024-03-31
Switzerland,8653624,CHE,46.818188,8.227512,2024-03-31
Chile,19114156,CHL,-35.675147,-71.542969,2024-03-31
China,1372736149,CHN,35.86166,104.195397,2024-03-31
Côte d'Ivoire,26375620,CIV,7.539989,-5.54708,2024-03-31
Cameroon,26542344,CMR,7.369722,12.354722,2024-03-31
Congo,5656176,COG,-0.228021,15.827659,2024-03-31
Cook Islands,18097,COK,-21.236736,-159.777671,2024-03-31
Colombia,50876431,COL,4.570868,-74.297333,2024-03-31
Comoros,869482,COM,-11.875001,43.872219,2024-03-31
Cape Verde,555907,CPV,16.002082,-24.013197,2024-03-31
Costa Rica,5093559,CRI,9.748917,-83.753428,2024-03-31
Cuba,11325467,CUB,21.521757,-77.781167,2024-03-31
Curaçao,154997,CUW,12.186111,-68.989444,2024-03-31
Christmas Island,2071,CXR,-10.447525,105.690449,2024-03-31
Cayman Islands,65712,CYM,19.513469,-80.566956,2024-03-31
Cyprus,1207194,CYP,35.126413,33.429859,2024-03-31
Czech Republic,10697726,CZE,49.817492,15.472962,2024-03-31
Czechia,10697514,CZE,49.817492,15.472962,2024-03-31
Germany,83228628,DEU,51.165691,10.451526,2024-03-31
Djibouti,987873,DJI,11.825138,42.590275,2024-03-31
Dominica,10846585,DMA,15.414999,-61.370976,2024-03-31
Denmark,5830578,DNK,56.26392,9.501785,2024-03-31
Dominican Republic,10846353,DOM,18.735693,-70.162651,2024-03-31
Algeria,44693968,DZA,28.033886,1.659626,2024-03-31
Ecuador,17640568,ECU,-1.831239,-78.183406,2024-03-31
Egypt,102321455,EGY,26.820553,30.802498,2024-03-31
Eritrea,5351429,ERI,15.179384,39.782334,2024-03-31
Western Sahara,510653,ESH,24.215527,-12.885834,2024-03-31
Spain,47344713,ESP,40.463667,-3.74922,2024-03-31
Estonia,1330873,EST,58.595272,25.013607,2024-03-31
Ethiopia,114951692,ETH,9.145,40.489673,2024-03-31
Finland,5530002,FIN,61.92411,25.748151,2024-03-31
Fiji,896353,FJI,-16.578193,179.414413,2024-03-31
Falkland Islands,2562,FLK,-51.796253,-59.523613,2024-03-31
Falkland Islands (Malvinas),2562,FLK,-51.796253,-59.523613,2024-03-31
France,67382124,FRA,46.227638,2.213749,2024-03-31
Faroe Islands,48858,FRO,61.892635,-6.911806,2024-03-31
Micronesia,115007,FSM,7.425554,150.550812,2024-03-31
"Micronesia, Federated States of",115003,FSM,7.425554,150.550812,2024-03-31
Gabon,2225429,GAB,-0.803689,11.609444,2024-03-31
Northern Ireland,67207648,GB-NIR,54.7,-6.7,2024-03-31
United Kingdom,67205879,GBR,55.378051,-3.435973,2024-03-31
United Kingdom of Great Britain and Northern Ireland,67206396,GBR,55.378051,-3.435973,2024-03-31
Georgia,3713477,GEO,42.315407,43.356892,2024-03-31
Guernsey,62991,GGY,49.465691,-2.585278,2024-03-31
Ghana,31069630,GHA,7.946527,-1.023194,2024-03-31
Gibraltar,33687,GIB,36.137741,-5.345374,2024-03-31
Guinea,1402788,GIN,9.945587,-9.696645,2024-03-31
Guadeloupe,400073,GLP,16.995971,-62.067641,2024-03-31
Gambia,2416314,GMB,13.443182,-15.310139,2024-03-31
The Gambia,2416365,GMB,13.443182,-15.310139,2024-03-31
Guinea-Bissau,1967732,GNB,11.803749,-15.180413,2024-03-31
Equatorial Guinea,1402828,GNQ,1.650801,10.267895,2024-03-31
Greece,10714176,GRC,39.074208,21.824312,2024-03-31
