Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106846,ABW,12.52111,-69.968338,2024-04-30
Afghanistan,40244854,AFG,33.93911,67.709953,2024-04-30
Angola,32889143,AGO,-11.202692,17.873887,2024-04-30
Anguilla,13460,AIA,18.220554,-63.068615,2024-04-30
Åland Islands,29477,ALA,60.250716,20.374146,2024-04-30
Albania,2839400,ALB,41.153332,20.168331,2024-04-30
Andorra,77315,AND,42.546245,1.601554,2024-04-30
United Arab Emirates,9896386,ARE,23.424076,53.847818,2024-04-30
Argentina,45410861,ARG,-38.416097,-63.616672,2024-04-30
Armenia,2965090,ARM,40.069099,45.038189,2024-04-30
American Samoa,55239,ASM,-14.270972,-170.132217,2024-04-30
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-30
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-30
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-30
Antigua and Barbuda,97986,ATG,17.060816,-61.796428,2024-04-30
Australia,25704284,AUS,-25.274398,133.775136,2024-04-30
Austria,8922704,AUT,47.516231,14.550072,2024-04-30
Azerbaijan,10116819,AZE,40.143105,47.576927,2024-04-30
Burundi,11897632,BDI,-3.373056,29.918886,2024-04-30
Belgium,11562373,BEL,50.503887,4.469936,2024-04-30
Benin,12130134,BEN,9.30769,2.315834,2024-04-30
"Bonaire, Sint Eustatius and Saba",26003,BES,12.183333,-68.233333,2024-04-30
Burkina Faso,20915094,BFA,12.238333,-1.561593,2024-04-30
Bangladesh,164798354,BGD,23.684994,90.356331,2024-04-30
Bulgaria,6931631,BGR,42.733883,25.48583,2024-04-30
Bahrain,1702518,BHR,25.930414,50.637772,2024-04-30
Bahamas,393552,BHS,25.03428,-77.39628,2024-04-30
The Bahamas,393512,BHS,25.03428,-77.39628,2024-04-30
Bosnia and Herzegovina,3283010,BIH,43.915886,17.679076,2024-04-30
Belarus,9404052,BLR,53.709807,27.953389,2024-04-30
Belize,397928,BLZ,17.189877,-88.49765,2024-04-30
Bermuda,63951,BMU,32.321384,-64.75737,2024-04-30
Bolivia,11680652,BOL,-16.290154,-63.588653,2024-04-30
Brazil,212676822,BRA,-14.235004,-51.92528,2024-04-30
Barbados,287590,BRB,13.193887,-59.543198,2024-04-30
Brunei,437781,BRN,4.535277,114.727669,2024-04-30
Brunei Darussalam,437737,BRN,4.535277,114.727669,2024-04-30
Bhutan,772171,BTN,27.514162,90.433601,2024-04-30
Burma,54447873,BUR,21.913965,95.956223,2024-04-30
Myanmar,54441525,MMR,21.913965,95.956223,2024-04-30
Botswana,2353456,BWA,-22.328474,24.684866,2024-04-30
Central African Republic,4832419,CAF,6.611111,20.939444,2024-04-30
Canada,38025605,CAN,56.130366,-106.346771,2024-04-30
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-30
