Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106777,ABW,12.52111,-69.968338,2024-04-10
Afghanistan,40223678,AFG,33.93911,67.709953,2024-04-10
Angola,32871112,AGO,-11.202692,17.873887,2024-04-10
Anguilla,13453,AIA,18.220554,-63.068615,2024-04-10
Åland Islands,29461,ALA,60.250716,20.374146,2024-04-10
Albania,2838098,ALB,41.153332,20.168331,2024-04-10
Andorra,77273,AND,42.546245,1.601554,2024-04-10
United Arab Emirates,9891852,ARE,23.424076,53.847818,2024-04-10
Argentina,45381484,ARG,-38.416097,-63.616672,2024-04-10
Armenia,2963676,ARM,40.069099,45.038189,2024-04-10
American Samoa,55203,ASM,-14.270972,-170.132217,2024-04-10
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-10
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-10
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-10
Antigua and Barbuda,97942,ATG,17.060816,-61.796428,2024-04-10
Australia,25690516,AUS,-25.274398,133.775136,2024-04-10
Austria,8918113,AUT,47.516231,14.550072,2024-04-10
Azerbaijan,10111615,AZE,40.143105,47.576927,2024-04-10
Burundi,11892242,BDI,-3.373056,29.918886,2024-04-10
Belgium,11557614,BEL,50.503887,4.469936,2024-04-10
Benin,12124488,BEN,9.30769,2.315834,2024-04-10
"Bonaire, Sint Eustatius and Saba",25990,BES,12.183333,-68.233333,2024-04-10
Burkina Faso,20905928,BFA,12.238333,-1.561593,2024-04-10
Bangladesh,164708020,BGD,23.684994,90.356331,2024-04-10
Bulgaria,6928060,BGR,42.733883,25.48583,2024-04-10
Bahrain,1701763,BHR,25.930414,50.637772,2024-04-10
Bahamas,393304,BHS,25.03428,-77.39628,2024-04-10
The Bahamas,393297,BHS,25.03428,-77.39628,2024-04-10
Bosnia and Herzegovina,3281289,BIH,43.915886,17.679076,2024-04-10
Belarus,9399948,BLR,53.709807,27.953389,2024-04-10
Belize,397668,BLZ,17.189877,-88.49765,2024-04-10
Bermuda,63910,BMU,32.321384,-64.75737,2024-04-10
Bolivia,11674270,BOL,-16.290154,-63.588653,2024-04-10
Brazil,212587227,BRA,-14.235004,-51.92528,2024-04-10
Barbados,287406,BRB,13.193887,-59.543198,2024-04-10
Brunei,437547,BRN,4.535277,114.727669,2024-04-10
Brunei Darussalam,437538,BRN,4.535277,114.727669,2024-04-10
Bhutan,771722,BTN,27.514162,90.433601,2024-04-10
Burma,54417539,BUR,21.913965,95.956223,2024-04-10
Myanmar,54415775,MMR,21.913965,95.956223,2024-04-10
Botswana,2351964,BWA,-22.328474,24.684866,2024-04-10
Central African Republic,4830465,CAF,6.611111,20.939444,2024-04-10
Canada,38009380,CAN,56.130366,-106.346771,2024-04-10
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-10
Switzerland,8655698,CHE,46.818188,8.227512,2024-04-10
Chile,19118223,CHL,-35.675147,-71.542969,2024-04-10
China,1373035017,CHN,35.86166,104.195397,2024-04-10
Côte d'Ivoire,26381479,CIV,7.539989,-5.54708,2024-04-10
Cameroon,26549322,CMR,7.369722,12.354722,2024-04-10
Congo,5657637,COG,-0.228021,15.827659,2024-04-10
Cook Islands,18102,COK,-21.236736,-159.777671,2024-04-10
Colombia,50888035,COL,4.570868,-74.297333,2024-04-10
Comoros,869683,COM,-11.875001,43.872219,2024-04-10
Cape Verde,556045,CPV,16.002082,-24.013197,2024-04-10
Costa Rica,5094657,CRI,9.748917,-83.753428,2024-04-10
Cuba,11328107,CUB,21.521757,-77.781167,2024-04-10
Curaçao,155031,CUW,12.186111,-68.989444,2024-04-10
Christmas Island,2072,CXR,-10.447525,105.690449,2024-04-10
Cayman Islands,65729,CYM,19.513469,-80.566956,2024-04-10
Cyprus,1207482,CYP,35.126413,33.429859,2024-04-10
Czech Republic,10700329,CZE,49.817492,15.472962,2024-04-10
Czechia,10700381,CZE,49.817492,15.472962,2024-04-10
Germany,83252835,DEU,51.165691,10.451526,2024-04-10
Djibouti,988126,DJI,11.825138,42.590275,2024-04-10
Dominica,10849499,DMA,15.414999,-61.370976,2024-04-10
Denmark,5832196,DNK,56.26392,9.501785,2024-04-10
Dominican Republic,10849181,DOM,18.735693,-70.162651,2024-04-10
Algeria,44706078,DZA,28.033886,1.659626,2024-04-10
Ecuador,17645321,ECU,-1.831239,-78.183406,2024-04-10
Egypt,102346637,EGY,26.820553,30.802498,2024-04-10
Eritrea,5352634,ERI,15.179384,39.782334,2024-04-10
Western Sahara,510764,ESH,24.215527,-12.885834,2024-04-10
Spain,47357048,ESP,40.463667,-3.74922,2024-04-10
Estonia,1331244,EST,58.595272,25.013607,2024-04-10
Ethiopia,114979506,ETH,9.145,40.489673,2024-04-10
Finland,5531506,FIN,61.92411,25.748151,2024-04-10
Fiji,896555,FJI,-16.578193,179.414413,2024-04-10
Falkland Islands,2563,FLK,-51.796253,-59.523613,2024-04-10
Falkland Islands (Malvinas),2563,FLK,-51.796253,-59.523613,2024-04-10
France,67398772,FRA,46.227638,2.213749,2024-04-10
Faroe Islands,48870,FRO,61.892635,-6.911806,2024-04-10
Micronesia,115036,FSM,7.425554,150.550812,2024-04-10
"Micronesia, Federated States of",115037,FSM,7.425554,150.550812,2024-04-10
Gabon,2226020,GAB,-0.803689,11.609444,2024-04-10
Northern Ireland,67225005,GB-NIR,54.7,-6.7,2024-04-10
United Kingdom,67222540,GBR,55.378051,-3.435973,2024-04-10
United Kingdom of Great Britain and Northern Ireland,67224529,GBR,55.378051,-3.435973,2024-04-10
Georgia,3714535,GEO,42.315407,43.356892,2024-04-10
Guernsey,63008,GGY,49.465691,-2.585278,2024-04-10
Ghana,31076945,GHA,7.946527,-1.023194,2024-04-10
Gibraltar,33694,GIB,36.137741,-5.345374,2024-04-10
Guinea,1403162,GIN,9.945587,-9.696645,2024-04-10
Guadeloupe,400175,GLP,16.995971,-62.067641,2024-04-10
Gambia,2416925,GMB,13.443182,-15.310139,2024-04-10
The Gambia,2416974,GMB,13.443182,-15.310139,2024-04-10
Guinea-Bissau,1968228,GNB,11.803749,-15.180413,2024-04-10
Equatorial Guinea,1403159,GNQ,1.650801,10.267895,2024-04-10
Greece,10717052,GRC,39.074208,21.824312,2024-04-10
Grenada,112531,GRD,12.262776,-61.604171,2024-04-10
Greenland,56373,GRL,71.706936,-42.604303,2024-04-10
Guatemala,16860570,GTM,15.783471,-90.230759,2024-04-10
French Guiana,254569,GUF,3.933889,-53.125782,2024-04-10
Guam,168804,GUM,13.444304,144.793731,2024-04-10
Guyana,786665,GUY,4.860416,-58.93018,2024-04-10
Hong Kong,7501573,HKG,22.396428,114.109497,2024-04-10
Honduras,9906014,HND,15.199999,-86.241905,2024-04-10
Croatia,4047718,HRV,45.1,15.2,2024-04-10
Haiti,11404144,HTI,18.971187,-72.285215,2024-04-10
Hungary,9750897,HUN,47.162494,19.503304,2024-04-10
Indonesia,273562706,IDN,-0.789275,113.921327,2024-04-10
Isle of Man,85043,IMN,54.236107,-4.548056,2024-04-10
India,1380194678,IND,20.593684,78.96288,2024-04-10
British Indian Ocean Territory,3000,IOT,-6.343194,71.876519,2024-04-10
Ireland,67222761,IRL,53.41291,-8.24389,2024-04-10
Iran,84005508,IRN,32.427908,53.688046,2024-04-10
Iraq,40226800,IRQ,33.223191,43.679291,2024-04-10
Iceland,366470,ISL,64.963051,-19.020835,2024-04-10
Israel,9218228,ISR,31.046051,34.851612,2024-04-10
Italy,59561621,ITA,41.87194,12.56738,2024-04-10
Jamaica,2961557,JAM,18.109581,-77.297508,2024-04-10
Jersey,100813,JEY,49.214439,-2.13125,2024-04-10
Jordan,10204579,JOR,30.585164,36.238414,2024-04-10
Japan,125850202,JPN,36.204824,138.252924,2024-04-10
Kazakhstan,18756534,KAZ,48.019573,66.923684,2024-04-10
Kenya,53778993,KEN,-0.023559,37.906193,2024-04-10
Kyrgyzstan,6592318,KGZ,41.20438,74.766098,2024-04-10
Cambodia,16720891,KHM,12.565679,104.990963,2024-04-10
Kiribati,119463,KIR,-3.370417,-168.734039,2024-04-10
Saint Kitts and Nevis,53198,KNA,17.357822,-62.782998,2024-04-10
South Korea,51787455,KOR,35.907757,127.766922,2024-04-10
"Korea, Republic of",51787239,KOR,35.907757,127.766922,2024-04-10
Kuwait,4271008,KWT,29.31166,47.481766,2024-04-10
Laos,7276496,LAO,19.85627,102.495496,2024-04-10
Lao People's Democratic Republic,7276292,LAO,19.85627,102.495496,2024-04-10
Lebanon,6826330,LBN,33.854721,35.862285,2024-04-10
Liberia,5058403,LBR,6.428055,-9.429499,2024-04-10
Libya,6872193,LBY,26.3351,17.228331,2024-04-10
Saint Lucia,183656,LCA,13.909444,-60.978893,2024-04-10
Liechtenstein,38141,LIE,47.166,9.555373,2024-04-10
Sri Lanka,21921870,LKA,7.873054,80.771797,2024-04-10
Lesotho,2142495,LSO,-29.609988,28.233608,2024-04-10
Lithuania,2795115,LTU,55.169438,23.881275,2024-04-10
Luxembourg,632344,LUX,49.815273,6.129583,2024-04-10
Latvia,1901831,LVA,56.879635,24.603189,2024-04-10
Macau,649416,MAC,22.198745,113.543873,2024-04-10
Macao,649434,MAC,22.198745,113.543873,2024-04-10
Saint Martin (French part),38663,MAF,18.082502,-63.051991,2024-04-10
Morocco,36914878,MAR,31.791702,-7.09262,2024-04-10
Monaco,39249,MCO,43.750298,7.412841,2024-04-10
Moldova,2618200,MDA,47.411631,28.369885,2024-04-10
"Moldova, Republic of",2618099,MDA,47.411631,28.369885,2024-04-10
Madagascar,27694030,MDG,-18.766947,46.869107,2024-04-10
Maldives,540622,MDV,3.202778,73.22068,2024-04-10
Mexico,128947293,MEX,23.634501,-102.552784,2024-04-10
Marshall Islands,59202,MHL,7.131474,171.184478,2024-04-10
North Macedonia,2077345,MKD,41.608635,21.745275,2024-04-10
Mali,20253478,MLI,17.570692,-3.996166,2024-04-10
Malta,525362,MLT,35.937496,14.375416,2024-04-10
Montenegro,621804,MNE,42.708678,19.37439,2024-04-10
Mongolia,3278672,MNG,46.862496,103.846656,2024-04-10
Northern Mariana Islands,57564,MNP,17.33083,145.38469,2024-04-10
Mozambique,31258724,MOZ,-18.665695,35.529562,2024-04-10
Mauritania,4650259,MRT,21.00789,-10.940835,2024-04-10
Montserrat,4922,MSR,16.742498,-62.187366,2024-04-10
Martinique,378284,MTQ,14.641528,-61.024174,2024-04-10
Mauritius,1265919,MUS,-20.348404,57.552152,2024-04-10
Malawi,19132744,MWI,-13.254308,34.301525,2024-04-10
Malaysia,32369931,MYS,4.210484,101.975766,2024-04-10
Mayotte,226947,MYT,-12.8275,45.166244,2024-04-10
Namibia,2541240,NAM,-22.95764,18.49041,2024-04-10
New Caledonia,271987,NCL,-20.904305,165.618042,2024-04-10
Niger,206169665,NER,17.607789,8.081666,2024-04-10
Norfolk Island,2302,NFK,-29.040835,167.954712,2024-04-10
Nigeria,206163733,NGA,9.081999,8.675277,2024-04-10
Nicaragua,6625518,NIC,12.865416,-85.207229,2024-04-10
Niue,1470,NIU,-19.054445,-169.867233,2024-04-10
Netherlands,16657757,NLD,52.132633,5.291266,2024-04-10
Norway,5380114,NOR,60.472024,8.468946,2024-04-10
Nepal,29139943,NPL,28.394857,84.124008,2024-04-10
Nauru,10835,NRU,-0.522778,166.931503,2024-04-10
New Zealand,5084867,NZL,-40.900557,174.885971,2024-04-10
Oman,19288633,OMN,21.512583,55.923255,2024-04-10
Pakistan,220923236,PAK,30.375321,69.345116,2024-04-10
Panama,4315379,PAN,8.537981,-80.782127,2024-04-10
Pitcairn Islands,56,PCN,-24.703615,-127.439308,2024-04-10
Pitcairn,56,PCN,-24.703615,-127.439308,2024-04-10
Peru,32976355,PER,-9.189967,-75.015152,2024-04-10
Philippines,109593433,PHL,12.879721,121.774017,2024-04-10
Palau,18093,PLW,7.51498,134.58252,2024-04-10
Papua New Guinea,8948174,PNG,-6.314993,143.95555,2024-04-10
Poland,37954948,POL,51.919438,19.145136,2024-04-10
Puerto Rico,3194509,PRI,18.220833,-66.590149,2024-04-10
North Korea,25781836,PRK,40.339852,127.510093,2024-04-10
Portugal,10306684,PRT,39.399872,-8.224454,2024-04-10
Paraguay,7133387,PRY,-23.442503,-58.443832,2024-04-10
"Palestine, State of",4803860,PSE,31.952162,35.233154,2024-04-10
French Polynesia,280944,PYF,-17.679742,-149.406843,2024-04-10
Qatar,2881453,QAT,25.354826,51.183884,2024-04-10
Réunion,841059,REU,-21.115141,55.536384,2024-04-10
Zimbabwe,14864684,ZWE,-19.015438,29.154857,2024-04-10
Romania,19289007,ROU,45.943161,24.96676,2024-04-10
Russian Federation,144121680,RUS,61.52401,105.318756,2024-04-10
Russia,144119276,RUS,61.52401,105.318756,2024-04-10
Rwanda,12953946,RWA,-1.940278,29.873888,2024-04-10
Saudi Arabia,34818206,SAU,23.885942,45.079162,2024-04-10
Sudan,43854729,SDN,12.862807,30.217636,2024-04-10
Senegal,16746165,SEN,14.497401,-14.452362,2024-04-10
Singapore,5686650,SGP,1.352083,103.819836,2024-04-10
South Georgia and the South Sandwich Islands,30,SGS,-54.429579,-36.587909,2024-04-10
"Saint Helena, Ascension and Tristan da Cunha",53199,SHN,-24.143474,-10.030696,2024-04-10
Saint Helena,53198,SHN,-24.143474,-10.030696,2024-04-10
Svalbard and Jan Mayen,2562,SJM,77.553604,23.670272,2024-04-10
Solomon Islands,686958,SLB,-9.64571,160.156194,2024-04-10
Sierra Leone,7978104,SLE,8.460555,-11.779889,2024-04-10
El Salvador,6487144,SLV,13.794185,-88.89653,2024-04-10
San Marino,33941,SMR,43.94236,12.457777,2024-04-10
Somalia,15895164,SOM,5.152149,46.199616,2024-04-10
Saint Pierre and Miquelon,6069,SPM,46.941936,-56.27111,2024-04-10
Serbia,6908934,SRB,44.016521,21.005859,2024-04-10
South Sudan,11195263,SSD,8.0,30.0,2024-04-10
São Tomé and Príncipe,219187,STP,0.18636,6.613081,2024-04-10
Sao Tome and Principe,219189,STP,0.18636,6.613081,2024-04-10
Suriname,586714,SUR,3.919305,-56.027783,2024-04-10
Slovakia,5459485,SVK,48.669026,19.699024,2024-04-10
