Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106836,ABW,12.52111,-69.968338,2024-04-26
Afghanistan,40237600,AFG,33.93911,67.709953,2024-04-26
Angola,32881654,AGO,-11.202692,17.873887,2024-04-26
Anguilla,13460,AIA,18.220554,-63.068615,2024-04-26
Åland Islands,29476,ALA,60.250716,20.374146,2024-04-26
Albania,2839292,ALB,41.153332,20.168331,2024-04-26
Andorra,77301,AND,42.546245,1.601554,2024-04-26
United Arab Emirates,9895628,ARE,23.424076,53.847818,2024-04-26
Argentina,45400663,ARG,-38.416097,-63.616672,2024-04-26
Armenia,2964665,ARM,40.069099,45.038189,2024-04-26
American Samoa,55223,ASM,-14.270972,-170.132217,2024-04-26
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-26
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-26
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-26
Antigua and Barbuda,97990,ATG,17.060816,-61.796428,2024-04-26
Australia,25699346,AUS,-25.274398,133.775136,2024-04-26
Austria,8921705,AUT,47.516231,14.550072,2024-04-26
Azerbaijan,10116619,AZE,40.143105,47.576927,2024-04-26
Burundi,11897148,BDI,-3.373056,29.918886,2024-04-26
Belgium,11562680,BEL,50.503887,4.469936,2024-04-26
Benin,12130283,BEN,9.30769,2.315834,2024-04-26
"Bonaire, Sint Eustatius and Saba",26000,BES,12.183333,-68.233333,2024-04-26
Burkina Faso,20912531,BFA,12.238333,-1.561593,2024-04-26
Bangladesh,164795010,BGD,23.684994,90.356331,2024-04-26
Bulgaria,6930535,BGR,42.733883,25.48583,2024-04-26
Bahrain,1702551,BHR,25.930414,50.637772,2024-04-26
Bahamas,393440,BHS,25.03428,-77.39628,2024-04-26
The Bahamas,393451,BHS,25.03428,-77.39628,2024-04-26
Bosnia and Herzegovina,3282838,BIH,43.915886,17.679076,2024-04-26
Belarus,9403704,BLR,53.709807,27.953389,2024-04-26
Belize,397804,BLZ,17.189877,-88.49765,2024-04-26
Bermuda,63938,BMU,32.321384,-64.75737,2024-04-26
Bolivia,11679241,BOL,-16.290154,-63.588653,2024-04-26
Brazil,212699381,BRA,-14.235004,-51.92528,2024-04-26
Barbados,287516,BRB,13.193887,-59.543198,2024-04-26
Brunei,437748,BRN,4.535277,114.727669,2024-04-26
Brunei Darussalam,437729,BRN,4.535277,114.727669,2024-04-26
Bhutan,772036,BTN,27.514162,90.433601,2024-04-26
Burma,54436424,BUR,21.913965,95.956223,2024-04-26
Myanmar,54437850,MMR,21.913965,95.956223,2024-04-26
Botswana,2352802,BWA,-22.328474,24.684866,2024-04-26
Central African Republic,4832921,CAF,6.611111,20.939444,2024-04-26
Canada,38026025,CAN,56.130366,-106.346771,2024-04-26
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-26
Switzerland,8659088,CHE,46.818188,8.227512,2024-04-26
Chile,19127557,CHL,-35.675147,-71.542969,2024-04-26
China,1373778921,CHN,35.86166,104.195397,2024-04-26
Côte d'Ivoire,26394519,CIV,7.539989,-5.54708,2024-04-26
Cameroon,26559448,CMR,7.369722,12.354722,2024-04-26
Congo,5660594,COG,-0.228021,15.827659,2024-04-26
Cook Islands,18110,COK,-21.236736,-159.777671,2024-04-26
Colombia,50906907,COL,4.570868,-74.297333,2024-04-26
Comoros,870011,COM,-11.875001,43.872219,2024-04-26
Cape Verde,556302,CPV,16.002082,-24.013197,2024-04-26
Costa Rica,5096535,CRI,9.748917,-83.753428,2024-04-26
Cuba,11332036,CUB,21.521757,-77.781167,2024-04-26
Curaçao,155095,CUW,12.186111,-68.989444,2024-04-26
Christmas Island,2073,CXR,-10.447525,105.690449,2024-04-26
Cayman Islands,65761,CYM,19.513469,-80.566956,2024-04-26
Cyprus,1207901,CYP,35.126413,33.429859,2024-04-26
Czech Republic,10703689,CZE,49.817492,15.472962,2024-04-26
Czechia,10705804,CZE,49.817492,15.472962,2024-04-26
Germany,83294998,DEU,51.165691,10.451526,2024-04-26
Djibouti,988641,DJI,11.825138,42.590275,2024-04-26
Dominica,10853424,DMA,15.414999,-61.370976,2024-04-26
Denmark,5834416,DNK,56.26392,9.501785,2024-04-26
Dominican Republic,10854141,DOM,18.735693,-70.162651,2024-04-26
Algeria,44720441,DZA,28.033886,1.659626,2024-04-26
Ecuador,17654583,ECU,-1.831239,-78.183406,2024-04-26
Egypt,102395697,EGY,26.820553,30.802498,2024-04-26
Eritrea,5354783,ERI,15.179384,39.782334,2024-04-26
Western Sahara,510968,ESH,24.215527,-12.885834,2024-04-26
Spain,47372576,ESP,40.463667,-3.74922,2024-04-26
Estonia,1331903,EST,58.595272,25.013607,2024-04-26
Ethiopia,115029849,ETH,9.145,40.489673,2024-04-26
Finland,5533245,FIN,61.92411,25.748151,2024-04-26
Fiji,896989,FJI,-16.578193,179.414413,2024-04-26
Falkland Islands,2564,FLK,-51.796253,-59.523613,2024-04-26
Falkland Islands (Malvinas),2564,FLK,-51.796253,-59.523613,2024-04-26
France,67428779,FRA,46.227638,2.213749,2024-04-26
Faroe Islands,48896,FRO,61.892635,-6.911806,2024-04-26
Micronesia,115089,FSM,7.425554,150.550812,2024-04-26
"Micronesia, Federated States of",115082,FSM,7.425554,150.550812,2024-04-26
Gabon,2226721,GAB,-0.803689,11.609444,2024-04-26
Northern Ireland,67253759,GB-NIR,54.7,-6.7,2024-04-26
United Kingdom,67248599,GBR,55.378051,-3.435973,2024-04-26
United Kingdom of Great Britain and Northern Ireland,67259422,GBR,55.378051,-3.435973,2024-04-26
Georgia,3715994,GEO,42.315407,43.356892,2024-04-26
Guernsey,63030,GGY,49.465691,-2.585278,2024-04-26
Ghana,31090305,GHA,7.946527,-1.023194,2024-04-26
Gibraltar,33711,GIB,36.137741,-5.345374,2024-04-26
Guinea,1403883,GIN,9.945587,-9.696645,2024-04-26
Guadeloupe,400308,GLP,16.995971,-62.067641,2024-04-26
Gambia,2417847,GMB,13.443182,-15.310139,2024-04-26
The Gambia,2417924,GMB,13.443182,-15.310139,2024-04-26
Guinea-Bissau,1968927,GNB,11.803749,-15.180413,2024-04-26
Equatorial Guinea,1403770,GNQ,1.650801,10.267895,2024-04-26
Greece,10721644,GRC,39.074208,21.824312,2024-04-26
Grenada,112577,GRD,12.262776,-61.604171,2024-04-26
Greenland,56393,GRL,71.706936,-42.604303,2024-04-26
Guatemala,16867377,GTM,15.783471,-90.230759,2024-04-26
French Guiana,254698,GUF,3.933889,-53.125782,2024-04-26
Guam,168879,GUM,13.444304,144.793731,2024-04-26
Guyana,786953,GUY,4.860416,-58.93018,2024-04-26
Hong Kong,7504767,HKG,22.396428,114.109497,2024-04-26
Honduras,9909583,HND,15.199999,-86.241905,2024-04-26
Croatia,4049497,HRV,45.1,15.2,2024-04-26
Haiti,11407988,HTI,18.971187,-72.285215,2024-04-26
Hungary,9754910,HUN,47.162494,19.503304,2024-04-26
Indonesia,273701811,IDN,-0.789275,113.921327,2024-04-26
Isle of Man,85075,IMN,54.236107,-4.548056,2024-04-26
India,1380722961,IND,20.593684,78.96288,2024-04-26
British Indian Ocean Territory,3001,IOT,-6.343194,71.876519,2024-04-26
Ireland,67249084,IRL,53.41291,-8.24389,2024-04-26
Iran,84032092,IRN,32.427908,53.688046,2024-04-26
Iraq,40249045,IRQ,33.223191,43.679291,2024-04-26
Iceland,366631,ISL,64.963051,-19.020835,2024-04-26
Israel,9221025,ISR,31.046051,34.851612,2024-04-26
Italy,59583898,ITA,41.87194,12.56738,2024-04-26
Jamaica,2962509,JAM,18.109581,-77.297508,2024-04-26
Jersey,100847,JEY,49.214439,-2.13125,2024-04-26
Jordan,10207936,JOR,30.585164,36.238414,2024-04-26
Japan,125901026,JPN,36.204824,138.252924,2024-04-26
Kazakhstan,18766341,KAZ,48.019573,66.923684,2024-04-26
Kenya,53799460,KEN,-0.023559,37.906193,2024-04-26
Kyrgyzstan,6595486,KGZ,41.20438,74.766098,2024-04-26
Cambodia,16728653,KHM,12.565679,104.990963,2024-04-26
Kiribati,119502,KIR,-3.370417,-168.734039,2024-04-26
Saint Kitts and Nevis,53219,KNA,17.357822,-62.782998,2024-04-26
South Korea,51803800,KOR,35.907757,127.766922,2024-04-26
"Korea, Republic of",51812701,KOR,35.907757,127.766922,2024-04-26
Kuwait,4272990,KWT,29.31166,47.481766,2024-04-26
Laos,7279416,LAO,19.85627,102.495496,2024-04-26
Lao People's Democratic Republic,7279112,LAO,19.85627,102.495496,2024-04-26
Lebanon,6829634,LBN,33.854721,35.862285,2024-04-26
Liberia,5060544,LBR,6.428055,-9.429499,2024-04-26
Libya,6874347,LBY,26.3351,17.228331,2024-04-26
Saint Lucia,183721,LCA,13.909444,-60.978893,2024-04-26
Liechtenstein,38157,LIE,47.166,9.555373,2024-04-26
Sri Lanka,21932744,LKA,7.873054,80.771797,2024-04-26
Lesotho,2143507,LSO,-29.609988,28.233608,2024-04-26
Lithuania,2796533,LTU,55.169438,23.881275,2024-04-26
Luxembourg,632553,LUX,49.815273,6.129583,2024-04-26
Latvia,1902799,LVA,56.879635,24.603189,2024-04-26
Macau,649757,MAC,22.198745,113.543873,2024-04-26
Macao,649743,MAC,22.198745,113.543873,2024-04-26
Saint Martin (French part),38679,MAF,18.082502,-63.051991,2024-04-26
Morocco,36929334,MAR,31.791702,-7.09262,2024-04-26
Monaco,39264,MCO,43.750298,7.412841,2024-04-26
Moldova,2619414,MDA,47.411631,28.369885,2024-04-26
"Moldova, Republic of",2618974,MDA,47.411631,28.369885,2024-04-26
Madagascar,27708373,MDG,-18.766947,46.869107,2024-04-26
Maldives,540863,MDV,3.202778,73.22068,2024-04-26
Mexico,128997196,MEX,23.634501,-102.552784,2024-04-26
Marshall Islands,59229,MHL,7.131474,171.184478,2024-04-26
North Macedonia,2078095,MKD,41.608635,21.745275,2024-04-26
Mali,20262563,MLI,17.570692,-3.996166,2024-04-26
Malta,525620,MLT,35.937496,14.375416,2024-04-26
Montenegro,622115,MNE,42.708678,19.37439,2024-04-26
Mongolia,3280049,MNG,46.862496,103.846656,2024-04-26
Northern Mariana Islands,57583,MNP,17.33083,145.38469,2024-04-26
Mozambique,31271388,MOZ,-18.665695,35.529562,2024-04-26
Mauritania,4652700,MRT,21.00789,-10.940835,2024-04-26
Montserrat,4924,MSR,16.742498,-62.187366,2024-04-26
Martinique,378437,MTQ,14.641528,-61.024174,2024-04-26
Mauritius,1266513,MUS,-20.348404,57.552152,2024-04-26
Malawi,19139507,MWI,-13.254308,34.301525,2024-04-26
Malaysia,32386115,MYS,4.210484,101.975766,2024-04-26
Mayotte,227044,MYT,-12.8275,45.166244,2024-04-26
Namibia,2542350,NAM,-22.95764,18.49041,2024-04-26
New Caledonia,272082,NCL,-20.904305,165.618042,2024-04-26
Niger,206255177,NER,17.607789,8.081666,2024-04-26
Norfolk Island,2303,NFK,-29.040835,167.954712,2024-04-26
Nigeria,206249991,NGA,9.081999,8.675277,2024-04-26
Nicaragua,6627648,NIC,12.865416,-85.207229,2024-04-26
Niue,1470,NIU,-19.054445,-169.867233,2024-04-26
Netherlands,16665743,NLD,52.132633,5.291266,2024-04-26
Norway,5382192,NOR,60.472024,8.468946,2024-04-26
Nepal,29150891,NPL,28.394857,84.124008,2024-04-26
Nauru,10840,NRU,-0.522778,166.931503,2024-04-26
New Zealand,5087317,NZL,-40.900557,174.885971,2024-04-26
Oman,19296506,OMN,21.512583,55.923255,2024-04-26
Pakistan,221037479,PAK,30.375321,69.345116,2024-04-26
Panama,4317361,PAN,8.537981,-80.782127,2024-04-26
Pitcairn Islands,56,PCN,-24.703615,-127.439308,2024-04-26
Pitcairn,56,PCN,-24.703615,-127.439308,2024-04-26
Peru,32991961,PER,-9.189967,-75.015152,2024-04-26
Philippines,109635944,PHL,12.879721,121.774017,2024-04-26
Palau,18101,PLW,7.51498,134.58252,2024-04-26
Papua New Guinea,8951708,PNG,-6.314993,143.95555,2024-04-26
Poland,37971024,POL,51.919438,19.145136,2024-04-26
Puerto Rico,3195875,PRI,18.220833,-66.590149,2024-04-26
North Korea,25791437,PRK,40.339852,127.510093,2024-04-26
Portugal,10311456,PRT,39.399872,-8.224454,2024-04-26
Paraguay,7136510,PRY,-23.442503,-58.443832,2024-04-26
"Palestine, State of",4805926,PSE,31.952162,35.233154,2024-04-26
French Polynesia,281084,PYF,-17.679742,-149.406843,2024-04-26
Qatar,2882645,QAT,25.354826,51.183884,2024-04-26
Réunion,841436,REU,-21.115141,55.536384,2024-04-26
Zimbabwe,14872124,ZWE,-19.015438,29.154857,2024-04-26
Romania,19296029,ROU,45.943161,24.96676,2024-04-26
Russian Federation,144168479,RUS,61.52401,105.318756,2024-04-26
Russia,144196972,RUS,61.52401,105.318756,2024-04-26
Rwanda,12959474,RWA,-1.940278,29.873888,2024-04-26
Saudi Arabia,34836332,SAU,23.885942,45.079162,2024-04-26
Sudan,43871037,SDN,12.862807,30.217636,2024-04-26
Senegal,16752159,SEN,14.497401,-14.452362,2024-04-26
Singapore,5689178,SGP,1.352083,103.819836,2024-04-26
South Georgia and the South Sandwich Islands,30,SGS,-54.429579,-36.587909,2024-04-26
"Saint Helena, Ascension and Tristan da Cunha",53224,SHN,-24.143474,-10.030696,2024-04-26
Saint Helena,53225,SHN,-24.143474,-10.030696,2024-04-26
