Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106740,ABW,12.52111,-69.968338,2024-03-26
Afghanistan,40206874,AFG,33.93911,67.709953,2024-03-26
Angola,32856687,AGO,-11.202692,17.873887,2024-03-26
Anguilla,13448,AIA,18.220554,-63.068615,2024-03-26
Åland Islands,29451,ALA,60.250716,20.374146,2024-03-26
Albania,2837034,ALB,41.153332,20.168331,2024-03-26
Andorra,77249,AND,42.546245,1.601554,2024-03-26
United Arab Emirates,9888382,ARE,23.424076,53.847818,2024-03-26
Argentina,45367219,ARG,-38.416097,-63.616672,2024-03-26
Armenia,2962596,ARM,40.069099,45.038189,2024-03-26
American Samoa,55185,ASM,-14.270972,-170.132217,2024-03-26
Antarctica,999,ATA,-75.250973,-0.071389,2024-03-26
French Southern Territories,399,ATF,-49.280366,69.348557,2024-03-26
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-03-26
Antigua and Barbuda,97902,ATG,17.060816,-61.796428,2024-03-26
Australia,25680836,AUS,-25.274398,133.775136,2024-03-26
Austria,8914669,AUT,47.516231,14.550072,2024-03-26
Azerbaijan,10107189,AZE,40.143105,47.576927,2024-03-26
Burundi,11887517,BDI,-3.373056,29.918886,2024-03-26
Belgium,11553276,BEL,50.503887,4.469936,2024-03-26
Benin,12120345,BEN,9.30769,2.315834,2024-03-26
"Bonaire, Sint Eustatius and Saba",25979,BES,12.183333,-68.233333,2024-03-26
Burkina Faso,20897240,BFA,12.238333,-1.561593,2024-03-26
Bangladesh,164654796,BGD,23.684994,90.356331,2024-03-26
Bulgaria,6925708,BGR,42.733883,25.48583,2024-03-26
Bahrain,1701159,BHR,25.930414,50.637772,2024-03-26
Bahamas,393156,BHS,25.03428,-77.39628,2024-03-26
The Bahamas,393139,BHS,25.03428,-77.39628,2024-03-26
Bosnia and Herzegovina,3279964,BIH,43.915886,17.679076,2024-03-26
Belarus,9396111,BLR,53.709807,27.953389,2024-03-26
Belize,397526,BLZ,17.189877,-88.49765,2024-03-26
Bermuda,63884,BMU,32.321384,-64.75737,2024-03-26
Bolivia,11670442,BOL,-16.290154,-63.588653,2024-03-26
