Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106749,ABW,12.52111,-69.968338,2024-03-29
Afghanistan,40210927,AFG,33.93911,67.709953,2024-03-29
Angola,32861301,AGO,-11.202692,17.873887,2024-03-29
Anguilla,13449,AIA,18.220554,-63.068615,2024-03-29
Åland Islands,29452,ALA,60.250716,20.374146,2024-03-29
Albania,2837320,ALB,41.153332,20.168331,2024-03-29
Andorra,77251,AND,42.546245,1.601554,2024-03-29
United Arab Emirates,9888858,ARE,23.424076,53.847818,2024-03-29
Argentina,45368035,ARG,-38.416097,-63.616672,2024-03-29
Armenia,2962694,ARM,40.069099,45.038189,2024-03-29
American Samoa,55188,ASM,-14.270972,-170.132217,2024-03-29
Antarctica,999,ATA,-75.250973,-0.071389,2024-03-29
French Southern Territories,399,ATF,-49.280366,69.348557,2024-03-29
French Southern and Antarctic Lands,399,ATF,-49.280366,69.348557,2024-03-29
Antigua and Barbuda,97911,ATG,17.060816,-61.796428,2024-03-29
Australia,25683260,AUS,-25.274398,133.775136,2024-03-29
Austria,8915681,AUT,47.516231,14.550072,2024-03-29
Azerbaijan,10108088,AZE,40.143105,47.576927,2024-03-29
Burundi,11889075,BDI,-3.373056,29.918886,2024-03-29
Belgium,11554336,BEL,50.503887,4.469936,2024-03-29
Benin,12121308,BEN,9.30769,2.315834,2024-03-29
"Bonaire, Sint Eustatius and Saba",25982,BES,12.183333,-68.233333,2024-03-29
Burkina Faso,20900029,BFA,12.238333,-1.561593,2024-03-29
Bangladesh,164656941,BGD,23.684994,90.356331,2024-03-29
Bulgaria,6926066,BGR,42.733883,25.48583,2024-03-29
Bahrain,1701313,BHR,25.930414,50.637772,2024-03-29
Bahamas,393187,BHS,25.03428,-77.39628,2024-03-29
The Bahamas,393170,BHS,25.03428,-77.39628,2024-03-29
Bosnia and Herzegovina,3280167,BIH,43.915886,17.679076,2024-03-29
Belarus,9397443,BLR,53.709807,27.953389,2024-03-29
Belize,397556,BLZ,17.189877,-88.49765,2024-03-29
Bermuda,63890,BMU,32.321384,-64.75737,2024-03-29
Bolivia,11671290,BOL,-16.290154,-63.588653,2024-03-29
Brazil,212527379,BRA,-14.235004,-51.92528,2024-03-29
Barbados,287315,BRB,13.193887,-59.543198,2024-03-29
Brunei,437417,BRN,4.535277,114.727669,2024-03-29
Brunei Darussalam,437418,BRN,4.535277,114.727669,2024-03-29
Bhutan,771479,BTN,27.514162,90.433601,2024-03-29
Burma,54401934,BUR,21.913965,95.956223,2024-03-29
Myanmar,54400628,MMR,21.913965,95.956223,2024-03-29
Botswana,2351151,BWA,-22.328474,24.684866,2024-03-29
Central African Republic,4829038,CAF,6.611111,20.939444,2024-03-29
Canada,37997856,CAN,56.130366,-106.346771,2024-03-29
Cocos (Keeling) Islands,543,CCK,-12.164165,96.870956,2024-03-29
Switzerland,8653103,CHE,46.818188,8.227512,2024-03-29
Chile,19112849,CHL,-35.675147,-71.542969,2024-03-29
China,1372615457,CHN,35.86166,104.195397,2024-03-29
Côte d'Ivoire,26374396,CIV,7.539989,-5.54708,2024-03-29
Cameroon,26540510,CMR,7.369722,12.354722,2024-03-29
Congo,5656043,COG,-0.228021,15.827659,2024-03-29
Cook Islands,18096,COK,-21.236736,-159.777671,2024-03-29
Colombia,50874506,COL,4.570868,-74.297333,2024-03-29
Comoros,869471,COM,-11.875001,43.872219,2024-03-29
Cape Verde,555902,CPV,16.002082,-24.013197,2024-03-29
Costa Rica,5093382,CRI,9.748917,-83.753428,2024-03-29
Cuba,11324490,CUB,21.521757,-77.781167,2024-03-29
Curaçao,154983,CUW,12.186111,-68.989444,2024-03-29
Christmas Island,2071,CXR,-10.447525,105.690449,2024-03-29
Cayman Islands,65707,CYM,19.513469,-80.566956,2024-03-29
Cyprus,1207108,CYP,35.126413,33.429859,2024-03-29
Czech Republic,10697280,CZE,49.817492,15.472962,2024-03-29
Czechia,10697190,CZE,49.817492,15.472962,2024-03-29
Germany,83227347,DEU,51.165691,10.451526,2024-03-29
Djibouti,987857,DJI,11.825138,42.590275,2024-03-29
Dominica,10845785,DMA,15.414999,-61.370976,2024-03-29
Denmark,5830338,DNK,56.26392,9.501785,2024-03-29
Dominican Republic,10845858,DOM,18.735693,-70.162651,2024-03-29
Algeria,44691023,DZA,28.033886,1.659626,2024-03-29
Ecuador,17639627,ECU,-1.831239,-78.183406,2024-03-29
Egypt,102313434,EGY,26.820553,30.802498,2024-03-29
Eritrea,5350924,ERI,15.179384,39.782334,2024-03-29
Western Sahara,510621,ESH,24.215527,-12.885834,2024-03-29
Spain,47344550,ESP,40.463667,-3.74922,2024-03-29
Estonia,1330852,EST,58.595272,25.013607,2024-03-29
Ethiopia,114944199,ETH,9.145,40.489673,2024-03-29
Finland,5529935,FIN,61.92411,25.748151,2024-03-29
Fiji,896283,FJI,-16.578193,179.414413,2024-03-29
Falkland Islands,2562,FLK,-51.796253,-59.523613,2024-03-29
