Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106803,ABW,12.52111,-69.968338,2024-04-21
Afghanistan,40238642,AFG,33.93911,67.709953,2024-04-21
Angola,32878736,AGO,-11.202692,17.873887,2024-04-21
Anguilla,13458,AIA,18.220554,-63.068615,2024-04-21
Åland Islands,29470,ALA,60.250716,20.374146,2024-04-21
Albania,2839011,ALB,41.153332,20.168331,2024-04-21
Andorra,77298,AND,42.546245,1.601554,2024-04-21
United Arab Emirates,9895081,ARE,23.424076,53.847818,2024-04-21
Argentina,45399355,ARG,-38.416097,-63.616672,2024-04-21
Armenia,2964575,ARM,40.069099,45.038189,2024-04-21
American Samoa,55222,ASM,-14.270972,-170.132217,2024-04-21
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-21
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-21
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-21
Antigua and Barbuda,97961,ATG,17.060816,-61.796428,2024-04-21
Australia,25698298,AUS,-25.274398,133.775136,2024-04-21
Austria,8920825,AUT,47.516231,14.550072,2024-04-21
Azerbaijan,10114765,AZE,40.143105,47.576927,2024-04-21
Burundi,11896324,BDI,-3.373056,29.918886,2024-04-21
Belgium,11560511,BEL,50.503887,4.469936,2024-04-21
Benin,12129152,BEN,9.30769,2.315834,2024-04-21
"Bonaire, Sint Eustatius and Saba",25997,BES,12.183333,-68.233333,2024-04-21
Burkina Faso,20913095,BFA,12.238333,-1.561593,2024-04-21
Bangladesh,164750836,BGD,23.684994,90.356331,2024-04-21
Bulgaria,6930641,BGR,42.733883,25.48583,2024-04-21
Bahrain,1702307,BHR,25.930414,50.637772,2024-04-21
Bahamas,393415,BHS,25.03428,-77.39628,2024-04-21
The Bahamas,393435,BHS,25.03428,-77.39628,2024-04-21
Bosnia and Herzegovina,3282356,BIH,43.915886,17.679076,2024-04-21
Belarus,9403158,BLR,53.709807,27.953389,2024-04-21
Belize,397791,BLZ,17.189877,-88.49765,2024-04-21
Bermuda,63931,BMU,32.321384,-64.75737,2024-04-21
Bolivia,11678705,BOL,-16.290154,-63.588653,2024-04-21
Brazil,212652657,BRA,-14.235004,-51.92528,2024-04-21
Barbados,287500,BRB,13.193887,-59.543198,2024-04-21
Brunei,437633,BRN,4.535277,114.727669,2024-04-21
Brunei Darussalam,437648,BRN,4.535277,114.727669,2024-04-21
Bhutan,771954,BTN,27.514162,90.433601,2024-04-21
Burma,54430327,BUR,21.913965,95.956223,2024-04-21
Myanmar,54432150,MMR,21.913965,95.956223,2024-04-21
Botswana,2352456,BWA,-22.328474,24.684866,2024-04-21
Central African Republic,4832119,CAF,6.611111,20.939444,2024-04-21
Canada,38019350,CAN,56.130366,-106.346771,2024-04-21
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-21
Switzerland,8659003,CHE,46.818188,8.227512,2024-04-21
Chile,19124538,CHL,-35.675147,-71.542969,2024-04-21
China,1373390673,CHN,35.86166,104.195397,2024-04-21
Côte d'Ivoire,26389353,CIV,7.539989,-5.54708,2024-04-21
Cameroon,26557003,CMR,7.369722,12.354722,2024-04-21
Congo,5659287,COG,-0.228021,15.827659,2024-04-21
Cook Islands,18108,COK,-21.236736,-159.777671,2024-04-21
Colombia,50901009,COL,4.570868,-74.297333,2024-04-21
Comoros,869979,COM,-11.875001,43.872219,2024-04-21
Cape Verde,556243,CPV,16.002082,-24.013197,2024-04-21
Costa Rica,5096187,CRI,9.748917,-83.753428,2024-04-21
Cuba,11331031,CUB,21.521757,-77.781167,2024-04-21
Curaçao,155083,CUW,12.186111,-68.989444,2024-04-21
Christmas Island,2072,CXR,-10.447525,105.690449,2024-04-21
Cayman Islands,65749,CYM,19.513469,-80.566956,2024-04-21
Cyprus,1207820,CYP,35.126413,33.429859,2024-04-21
Czech Republic,10704108,CZE,49.817492,15.472962,2024-04-21
Czechia,10703407,CZE,49.817492,15.472962,2024-04-21
Germany,83276331,DEU,51.165691,10.451526,2024-04-21
Djibouti,988493,DJI,11.825138,42.590275,2024-04-21
Dominica,10852064,DMA,15.414999,-61.370976,2024-04-21
Denmark,5833605,DNK,56.26392,9.501785,2024-04-21
Dominican Republic,10852266,DOM,18.735693,-70.162651,2024-04-21
Algeria,44722134,DZA,28.033886,1.659626,2024-04-21
Ecuador,17649805,ECU,-1.831239,-78.183406,2024-04-21
Egypt,102380449,EGY,26.820553,30.802498,2024-04-21
Eritrea,5354205,ERI,15.179384,39.782334,2024-04-21
Western Sahara,510940,ESH,24.215527,-12.885834,2024-04-21
Spain,47372864,ESP,40.463667,-3.74922,2024-04-21
Estonia,1331535,EST,58.595272,25.013607,2024-04-21
Ethiopia,115016994,ETH,9.145,40.489673,2024-04-21
Finland,5532973,FIN,61.92411,25.748151,2024-04-21
Fiji,896890,FJI,-16.578193,179.414413,2024-04-21
Falkland Islands,2563,FLK,-51.796253,-59.523613,2024-04-21
Falkland Islands (Malvinas),2564,FLK,-51.796253,-59.523613,2024-04-21
France,67417150,FRA,46.227638,2.213749,2024-04-21
Faroe Islands,48887,FRO,61.892635,-6.911806,2024-04-21
Micronesia,115071,FSM,7.425554,150.550812,2024-04-21
"Micronesia, Federated States of",115077,FSM,7.425554,150.550812,2024-04-21
Gabon,2226852,GAB,-0.803689,11.609444,2024-04-21
Northern Ireland,67240685,GB-NIR,54.7,-6.7,2024-04-21
United Kingdom,67242568,GBR,55.378051,-3.435973,2024-04-21
United Kingdom of Great Britain and Northern Ireland,67244210,GBR,55.378051,-3.435973,2024-04-21
Georgia,3715501,GEO,42.315407,43.356892,2024-04-21
Guernsey,63024,GGY,49.465691,-2.585278,2024-04-21
Ghana,31083528,GHA,7.946527,-1.023194,2024-04-21
Gibraltar,33704,GIB,36.137741,-5.345374,2024-04-21
Guinea,1403480,GIN,9.945587,-9.696645,2024-04-21
Guadeloupe,400272,GLP,16.995971,-62.067641,2024-04-21
Gambia,2417536,GMB,13.443182,-15.310139,2024-04-21
The Gambia,2417718,GMB,13.443182,-15.310139,2024-04-21
Guinea-Bissau,1968724,GNB,11.803749,-15.180413,2024-04-21
Equatorial Guinea,1403676,GNQ,1.650801,10.267895,2024-04-21
Greece,10720099,GRC,39.074208,21.824312,2024-04-21
Grenada,112561,GRD,12.262776,-61.604171,2024-04-21
Greenland,56388,GRL,71.706936,-42.604303,2024-04-21
Guatemala,16866426,GTM,15.783471,-90.230759,2024-04-21
French Guiana,254655,GUF,3.933889,-53.125782,2024-04-21
Guam,168858,GUM,13.444304,144.793731,2024-04-21
Guyana,786893,GUY,4.860416,-58.93018,2024-04-21
Hong Kong,7503297,HKG,22.396428,114.109497,2024-04-21
Honduras,9908220,HND,15.199999,-86.241905,2024-04-21
Croatia,4048758,HRV,45.1,15.2,2024-04-21
Haiti,11407336,HTI,18.971187,-72.285215,2024-04-21
Hungary,9753504,HUN,47.162494,19.503304,2024-04-21
Indonesia,273638073,IDN,-0.789275,113.921327,2024-04-21
Isle of Man,85070,IMN,54.236107,-4.548056,2024-04-21
India,1380505740,IND,20.593684,78.96288,2024-04-21
British Indian Ocean Territory,3001,IOT,-6.343194,71.876519,2024-04-21
