Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106830,ABW,12.52111,-69.968338,2024-04-25
Afghanistan,40241986,AFG,33.93911,67.709953,2024-04-25
Angola,32884815,AGO,-11.202692,17.873887,2024-04-25
Anguilla,13457,AIA,18.220554,-63.068615,2024-04-25
Åland Islands,29471,ALA,60.250716,20.374146,2024-04-25
Albania,2839385,ALB,41.153332,20.168331,2024-04-25
Andorra,77308,AND,42.546245,1.601554,2024-04-25
United Arab Emirates,9896069,ARE,23.424076,53.847818,2024-04-25
Argentina,45396450,ARG,-38.416097,-63.616672,2024-04-25
Armenia,2965085,ARM,40.069099,45.038189,2024-04-25
American Samoa,55227,ASM,-14.270972,-170.132217,2024-04-25
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-25
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-25
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-25
Antigua and Barbuda,97983,ATG,17.060816,-61.796428,2024-04-25
Australia,25699641,AUS,-25.274398,133.775136,2024-04-25
Austria,8921849,AUT,47.516231,14.550072,2024-04-25
Azerbaijan,10115120,AZE,40.143105,47.576927,2024-04-25
Burundi,11897408,BDI,-3.373056,29.918886,2024-04-25
Belgium,11563270,BEL,50.503887,4.469936,2024-04-25
Benin,12130369,BEN,9.30769,2.315834,2024-04-25
"Bonaire, Sint Eustatius and Saba",26002,BES,12.183333,-68.233333,2024-04-25
Burkina Faso,20912578,BFA,12.238333,-1.561593,2024-04-25
Bangladesh,164777884,BGD,23.684994,90.356331,2024-04-25
Bulgaria,6930744,BGR,42.733883,25.48583,2024-04-25
Bahrain,1702467,BHR,25.930414,50.637772,2024-04-25
Bahamas,393454,BHS,25.03428,-77.39628,2024-04-25
The Bahamas,393480,BHS,25.03428,-77.39628,2024-04-25
Bosnia and Herzegovina,3282241,BIH,43.915886,17.679076,2024-04-25
Belarus,9404598,BLR,53.709807,27.953389,2024-04-25
Belize,397808,BLZ,17.189877,-88.49765,2024-04-25
Bermuda,63941,BMU,32.321384,-64.75737,2024-04-25
Bolivia,11678876,BOL,-16.290154,-63.588653,2024-04-25
Brazil,212681082,BRA,-14.235004,-51.92528,2024-04-25
Barbados,287546,BRB,13.193887,-59.543198,2024-04-25
Brunei,437721,BRN,4.535277,114.727669,2024-04-25
Brunei Darussalam,437745,BRN,4.535277,114.727669,2024-04-25
Bhutan,772045,BTN,27.514162,90.433601,2024-04-25
Burma,54441068,BUR,21.913965,95.956223,2024-04-25
Myanmar,54440073,MMR,21.913965,95.956223,2024-04-25
Botswana,2352970,BWA,-22.328474,24.684866,2024-04-25
Central African Republic,4831876,CAF,6.611111,20.939444,2024-04-25
Canada,38025512,CAN,56.130366,-106.346771,2024-04-25
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-25
Switzerland,8659255,CHE,46.818188,8.227512,2024-04-25
Chile,19124265,CHL,-35.675147,-71.542969,2024-04-25
China,1373694399,CHN,35.86166,104.195397,2024-04-25
Côte d'Ivoire,26389957,CIV,7.539989,-5.54708,2024-04-25
Cameroon,26558160,CMR,7.369722,12.354722,2024-04-25
Congo,5659604,COG,-0.228021,15.827659,2024-04-25
Cook Islands,18110,COK,-21.236736,-159.777671,2024-04-25
Colombia,50907904,COL,4.570868,-74.297333,2024-04-25
Comoros,869995,COM,-11.875001,43.872219,2024-04-25
Cape Verde,556327,CPV,16.002082,-24.013197,2024-04-25
Costa Rica,5097062,CRI,9.748917,-83.753428,2024-04-25
Cuba,11331943,CUB,21.521757,-77.781167,2024-04-25
Curaçao,155079,CUW,12.186111,-68.989444,2024-04-25
Christmas Island,2072,CXR,-10.447525,105.690449,2024-04-25
Cayman Islands,65758,CYM,19.513469,-80.566956,2024-04-25
Cyprus,1207994,CYP,35.126413,33.429859,2024-04-25
Czech Republic,10705561,CZE,49.817492,15.472962,2024-04-25
Czechia,10703391,CZE,49.817492,15.472962,2024-04-25
Germany,83279270,DEU,51.165691,10.451526,2024-04-25
Djibouti,988428,DJI,11.825138,42.590275,2024-04-25
Dominica,10852498,DMA,15.414999,-61.370976,2024-04-25
Denmark,5834525,DNK,56.26392,9.501785,2024-04-25
Dominican Republic,10854376,DOM,18.735693,-70.162651,2024-04-25
Algeria,44722899,DZA,28.033886,1.659626,2024-04-25
Ecuador,17653121,ECU,-1.831239,-78.183406,2024-04-25
Egypt,102381001,EGY,26.820553,30.802498,2024-04-25
Eritrea,5354287,ERI,15.179384,39.782334,2024-04-25
Western Sahara,511033,ESH,24.215527,-12.885834,2024-04-25
