Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106788,ABW,12.52111,-69.968338,2024-04-13
Afghanistan,40226949,AFG,33.93911,67.709953,2024-04-13
Angola,32873075,AGO,-11.202692,17.873887,2024-04-13
Anguilla,13454,AIA,18.220554,-63.068615,2024-04-13
Åland Islands,29465,ALA,60.250716,20.374146,2024-04-13
Albania,2838459,ALB,41.153332,20.168331,2024-04-13
Andorra,77282,AND,42.546245,1.601554,2024-04-13
United Arab Emirates,9892511,ARE,23.424076,53.847818,2024-04-13
Argentina,45388591,ARG,-38.416097,-63.616672,2024-04-13
Armenia,2963820,ARM,40.069099,45.038189,2024-04-13
American Samoa,55211,ASM,-14.270972,-170.132217,2024-04-13
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-13
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-13
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-13
Antigua and Barbuda,97946,ATG,17.060816,-61.796428,2024-04-13
Australia,25692035,AUS,-25.274398,133.775136,2024-04-13
Austria,8919168,AUT,47.516231,14.550072,2024-04-13
Azerbaijan,10112419,AZE,40.143105,47.576927,2024-04-13
Burundi,11893639,BDI,-3.373056,29.918886,2024-04-13
Belgium,11558195,BEL,50.503887,4.469936,2024-04-13
Benin,12126132,BEN,9.30769,2.315834,2024-04-13
"Bonaire, Sint Eustatius and Saba",25992,BES,12.183333,-68.233333,2024-04-13
Burkina Faso,20908854,BFA,12.238333,-1.561593,2024-04-13
Bangladesh,164720487,BGD,23.684994,90.356331,2024-04-13
Bulgaria,6928595,BGR,42.733883,25.48583,2024-04-13
Bahrain,1702040,BHR,25.930414,50.637772,2024-04-13
Bahamas,393344,BHS,25.03428,-77.39628,2024-04-13
The Bahamas,393350,BHS,25.03428,-77.39628,2024-04-13
Bosnia and Herzegovina,3281636,BIH,43.915886,17.679076,2024-04-13
Belarus,9401256,BLR,53.709807,27.953389,2024-04-13
Belize,397699,BLZ,17.189877,-88.49765,2024-04-13
Bermuda,63918,BMU,32.321384,-64.75737,2024-04-13
Bolivia,11675976,BOL,-16.290154,-63.588653,2024-04-13
Brazil,212600066,BRA,-14.235004,-51.92528,2024-04-13
Barbados,287433,BRB,13.193887,-59.543198,2024-04-13
Brunei,437566,BRN,4.535277,114.727669,2024-04-13
Brunei Darussalam,437575,BRN,4.535277,114.727669,2024-04-13
Bhutan,771782,BTN,27.514162,90.433601,2024-04-13
Burma,54421972,BUR,21.913965,95.956223,2024-04-13
Myanmar,54421781,MMR,21.913965,95.956223,2024-04-13
Botswana,2352172,BWA,-22.328474,24.684866,2024-04-13
Central African Republic,4831040,CAF,6.611111,20.939444,2024-04-13
Canada,38015009,CAN,56.130366,-106.346771,2024-04-13
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-13
Switzerland,8656250,CHE,46.818188,8.227512,2024-04-13
Chile,19121027,CHL,-35.675147,-71.542969,2024-04-13
China,1373195999,CHN,35.86166,104.195397,2024-04-13
Côte d'Ivoire,26383189,CIV,7.539989,-5.54708,2024-04-13
Cameroon,26551524,CMR,7.369722,12.354722,2024-04-13
Congo,5658319,COG,-0.228021,15.827659,2024-04-13
Cook Islands,18104,COK,-21.236736,-159.777671,2024-04-13
Colombia,50893008,COL,4.570868,-74.297333,2024-04-13
Comoros,869817,COM,-11.875001,43.872219,2024-04-13
Cape Verde,556094,CPV,16.002082,-24.013197,2024-04-13
Costa Rica,5095034,CRI,9.748917,-83.753428,2024-04-13
Cuba,11329644,CUB,21.521757,-77.781167,2024-04-13
Curaçao,155054,CUW,12.186111,-68.989444,2024-04-13
Christmas Island,2072,CXR,-10.447525,105.690449,2024-04-13
Cayman Islands,65737,CYM,19.513469,-80.566956,2024-04-13
Cyprus,1207685,CYP,35.126413,33.429859,2024-04-13
Czech Republic,10701748,CZE,49.817492,15.472962,2024-04-13
Czechia,10701653,CZE,49.817492,15.472962,2024-04-13
Germany,83259253,DEU,51.165691,10.451526,2024-04-13
Djibouti,988264,DJI,11.825138,42.590275,2024-04-13
Dominica,10850634,DMA,15.414999,-61.370976,2024-04-13
Denmark,5832894,DNK,56.26392,9.501785,2024-04-13
Dominican Republic,10849937,DOM,18.735693,-70.162651,2024-04-13
Algeria,44711241,DZA,28.033886,1.659626,2024-04-13
Ecuador,17647703,ECU,-1.831239,-78.183406,2024-04-13
Egypt,102354340,EGY,26.820553,30.802498,2024-04-13
Eritrea,5352972,ERI,15.179384,39.782334,2024-04-13
Western Sahara,510832,ESH,24.215527,-12.885834,2024-04-13
Spain,47363703,ESP,40.463667,-3.74922,2024-04-13
Estonia,1331310,EST,58.595272,25.013607,2024-04-13
Ethiopia,114991349,ETH,9.145,40.489673,2024-04-13
Finland,5531864,FIN,61.92411,25.748151,2024-04-13
Fiji,896623,FJI,-16.578193,179.414413,2024-04-13
Falkland Islands,2563,FLK,-51.796253,-59.523613,2024-04-13
Falkland Islands (Malvinas),2563,FLK,-51.796253,-59.523613,2024-04-13
France,67406908,FRA,46.227638,2.213749,2024-04-13
Faroe Islands,48876,FRO,61.892635,-6.911806,2024-04-13
Micronesia,115043,FSM,7.425554,150.550812,2024-04-13
"Micronesia, Federated States of",115047,FSM,7.425554,150.550812,2024-04-13
Gabon,2226233,GAB,-0.803689,11.609444,2024-04-13
Northern Ireland,67232770,GB-NIR,54.7,-6.7,2024-04-13
United Kingdom,67231524,GBR,55.378051,-3.435973,2024-04-13
United Kingdom of Great Britain and Northern Ireland,67232756,GBR,55.378051,-3.435973,2024-04-13
Georgia,3714808,GEO,42.315407,43.356892,2024-04-13
Guernsey,63012,GGY,49.465691,-2.585278,2024-04-13
Ghana,31080194,GHA,7.946527,-1.023194,2024-04-13
Gibraltar,33697,GIB,36.137741,-5.345374,2024-04-13
Guinea,1403294,GIN,9.945587,-9.696645,2024-04-13
Guadeloupe,400239,GLP,16.995971,-62.067641,2024-04-13
Gambia,2417204,GMB,13.443182,-15.310139,2024-04-13
The Gambia,2417297,GMB,13.443182,-15.310139,2024-04-13
Guinea-Bissau,1968365,GNB,11.803749,-15.180413,2024-04-13
Equatorial Guinea,1403355,GNQ,1.650801,10.267895,2024-04-13
Greece,10717861,GRC,39.074208,21.824312,2024-04-13
Grenada,112548,GRD,12.262776,-61.604171,2024-04-13
Greenland,56380,GRL,71.706936,-42.604303,2024-04-13
Guatemala,16861457,GTM,15.783471,-90.230759,2024-04-13
French Guiana,254590,GUF,3.933889,-53.125782,2024-04-13
Guam,168814,GUM,13.444304,144.793731,2024-04-13
Guyana,786748,GUY,4.860416,-58.93018,2024-04-13
Hong Kong,7502720,HKG,22.396428,114.109497,2024-04-13
Honduras,9907277,HND,15.199999,-86.241905,2024-04-13
Croatia,4048191,HRV,45.1,15.2,2024-04-13
Haiti,11404630,HTI,18.971187,-72.285215,2024-04-13
Hungary,9751664,HUN,47.162494,19.503304,2024-04-13
Indonesia,273573618,IDN,-0.789275,113.921327,2024-04-13
Isle of Man,85050,IMN,54.236107,-4.548056,2024-04-13
India,1380340096,IND,20.593684,78.96288,2024-04-13
British Indian Ocean Territory,3000,IOT,-6.343194,71.876519,2024-04-13
Ireland,67229614,IRL,53.41291,-8.24389,2024-04-13
Iran,84010290,IRN,32.427908,53.688046,2024-04-13
Iraq,40229889,IRQ,33.223191,43.679291,2024-04-13
Iceland,366510,ISL,64.963051,-19.020835,2024-04-13
Israel,9219005,ISR,31.046051,34.851612,2024-04-13
