Country,Population,ISO-ALPHA-3,Latitude,Longitude,date
Aruba,106816,ABW,12.52111,-69.968338,2024-04-24
Afghanistan,40241545,AFG,33.93911,67.709953,2024-04-24
Angola,32885621,AGO,-11.202692,17.873887,2024-04-24
Anguilla,13460,AIA,18.220554,-63.068615,2024-04-24
Åland Islands,29474,ALA,60.250716,20.374146,2024-04-24
Albania,2839098,ALB,41.153332,20.168331,2024-04-24
Andorra,77307,AND,42.546245,1.601554,2024-04-24
United Arab Emirates,9894732,ARE,23.424076,53.847818,2024-04-24
Argentina,45397266,ARG,-38.416097,-63.616672,2024-04-24
Armenia,2964689,ARM,40.069099,45.038189,2024-04-24
American Samoa,55227,ASM,-14.270972,-170.132217,2024-04-24
Antarctica,1000,ATA,-75.250973,-0.071389,2024-04-24
French Southern Territories,400,ATF,-49.280366,69.348557,2024-04-24
French Southern and Antarctic Lands,400,ATF,-49.280366,69.348557,2024-04-24
Antigua and Barbuda,97969,ATG,17.060816,-61.796428,2024-04-24
Australia,25702304,AUS,-25.274398,133.775136,2024-04-24
Austria,8921425,AUT,47.516231,14.550072,2024-04-24
Azerbaijan,10114380,AZE,40.143105,47.576927,2024-04-24
Burundi,11896127,BDI,-3.373056,29.918886,2024-04-24
Belgium,11562537,BEL,50.503887,4.469936,2024-04-24
Benin,12129966,BEN,9.30769,2.315834,2024-04-24
"Bonaire, Sint Eustatius and Saba",26002,BES,12.183333,-68.233333,2024-04-24
Burkina Faso,20912230,BFA,12.238333,-1.561593,2024-04-24
Bangladesh,164762117,BGD,23.684994,90.356331,2024-04-24
Bulgaria,6930595,BGR,42.733883,25.48583,2024-04-24
Bahrain,1702434,BHR,25.930414,50.637772,2024-04-24
Bahamas,393475,BHS,25.03428,-77.39628,2024-04-24
The Bahamas,393407,BHS,25.03428,-77.39628,2024-04-24
Bosnia and Herzegovina,3282414,BIH,43.915886,17.679076,2024-04-24
Belarus,9404154,BLR,53.709807,27.953389,2024-04-24
Belize,397786,BLZ,17.189877,-88.49765,2024-04-24
Bermuda,63934,BMU,32.321384,-64.75737,2024-04-24
Bolivia,11679120,BOL,-16.290154,-63.588653,2024-04-24
Brazil,212673898,BRA,-14.235004,-51.92528,2024-04-24
Barbados,287515,BRB,13.193887,-59.543198,2024-04-24
Brunei,437705,BRN,4.535277,114.727669,2024-04-24
Brunei Darussalam,437660,BRN,4.535277,114.727669,2024-04-24
Bhutan,771948,BTN,27.514162,90.433601,2024-04-24
Burma,54441483,BUR,21.913965,95.956223,2024-04-24
Myanmar,54442249,MMR,21.913965,95.956223,2024-04-24
Botswana,2352799,BWA,-22.328474,24.684866,2024-04-24
Central African Republic,4831892,CAF,6.611111,20.939444,2024-04-24
Canada,38022564,CAN,56.130366,-106.346771,2024-04-24
Cocos (Keeling) Islands,544,CCK,-12.164165,96.870956,2024-04-24
Switzerland,8658282,CHE,46.818188,8.227512,2024-04-24
Chile,19124814,CHL,-35.675147,-71.542969,2024-04-24
China,1373545160,CHN,35.86166,104.195397,2024-04-24
Côte d'Ivoire,26390482,CIV,7.539989,-5.54708,2024-04-24
Cameroon,26556544,CMR,7.369722,12.354722,2024-04-24
Congo,5659574,COG,-0.228021,15.827659,2024-04-24
Cook Islands,18107,COK,-21.236736,-159.777671,2024-04-24
Colombia,50903841,COL,4.570868,-74.297333,2024-04-24
Comoros,870059,COM,-11.875001,43.872219,2024-04-24
Cape Verde,556292,CPV,16.002082,-24.013197,2024-04-24
Costa Rica,5096940,CRI,9.748917,-83.753428,2024-04-24
Cuba,11332516,CUB,21.521757,-77.781167,2024-04-24
Curaçao,155085,CUW,12.186111,-68.989444,2024-04-24
Christmas Island,2073,CXR,-10.447525,105.690449,2024-04-24
Cayman Islands,65749,CYM,19.513469,-80.566956,2024-04-24
Cyprus,1208070,CYP,35.126413,33.429859,2024-04-24
Czech Republic,10704153,CZE,49.817492,15.472962,2024-04-24
Czechia,10704218,CZE,49.817492,15.472962,2024-04-24
Germany,83276224,DEU,51.165691,10.451526,2024-04-24
Djibouti,988577,DJI,11.825138,42.590275,2024-04-24
Dominica,10853508,DMA,15.414999,-61.370976,2024-04-24
Denmark,5834357,DNK,56.26392,9.501785,2024-04-24
Dominican Republic,10854028,DOM,18.735693,-70.162651,2024-04-24
Algeria,44720706,DZA,28.033886,1.659626,2024-04-24
Ecuador,17653220,ECU,-1.831239,-78.183406,2024-04-24
Egypt,102379032,EGY,26.820553,30.802498,2024-04-24
Eritrea,5354759,ERI,15.179384,39.782334,2024-04-24
Western Sahara,510923,ESH,24.215527,-12.885834,2024-04-24
Spain,47372663,ESP,40.463667,-3.74922,2024-04-24
Estonia,1331681,EST,58.595272,25.013607,2024-04-24
Ethiopia,115017971,ETH,9.145,40.489673,2024-04-24
Finland,5533637,FIN,61.92411,25.748151,2024-04-24
Fiji,896895,FJI,-16.578193,179.414413,2024-04-24
Falkland Islands,2564,FLK,-51.796253,-59.523613,2024-04-24
Falkland Islands (Malvinas),2564,FLK,-51.796253,-59.523613,2024-04-24
France,67427336,FRA,46.227638,2.213749,2024-04-24
Faroe Islands,48886,FRO,61.892635,-6.911806,2024-04-24
Micronesia,115083,FSM,7.425554,150.550812,2024-04-24
"Micronesia, Federated States of",115084,FSM,7.425554,150.550812,2024-04-24
Gabon,2227045,GAB,-0.803689,11.609444,2024-04-24
Northern Ireland,67247033,GB-NIR,54.7,-6.7,2024-04-24
United Kingdom,67250734,GBR,55.378051,-3.435973,2024-04-24
United Kingdom of Great Britain and Northern Ireland,67244643,GBR,55.378051,-3.435973,2024-04-24
Georgia,3715641,GEO,42.315407,43.356892,2024-04-24
Guernsey,63029,GGY,49.465691,-2.585278,2024-04-24
Ghana,31088263,GHA,7.946527,-1.023194,2024-04-24
Gibraltar,33707,GIB,36.137741,-5.345374,2024-04-24
Guinea,1403714,GIN,9.945587,-9.696645,2024-04-24
Guadeloupe,400302,GLP,16.995971,-62.067641,2024-04-24
Gambia,2417649,GMB,13.443182,-15.310139,2024-04-24
The Gambia,2417831,GMB,13.443182,-15.310139,2024-04-24
Guinea-Bissau,1968831,GNB,11.803749,-15.180413,2024-04-24
Equatorial Guinea,1403810,GNQ,1.650801,10.267895,2024-04-24
Greece,10721206,GRC,39.074208,21.824312,2024-04-24
Grenada,112577,GRD,12.262776,-61.604171,2024-04-24
Greenland,56397,GRL,71.706936,-42.604303,2024-04-24
Guatemala,16868042,GTM,15.783471,-90.230759,2024-04-24
French Guiana,254674,GUF,3.933889,-53.125782,2024-04-24
Guam,168870,GUM,13.444304,144.793731,2024-04-24
Guyana,786995,GUY,4.860416,-58.93018,2024-04-24
Hong Kong,7505189,HKG,22.396428,114.109497,2024-04-24
